Species,Source,Year,Samples
Black rockfish,REC,2016,0
Black rockfish,REC,2017,0
Black rockfish,REC,2018,212
Black rockfish,REC,2019,250
Black and yellow rockfish,REC,2021,1
Blue rockfish,REC,2016,0
Blue rockfish,REC,2017,0
Blue rockfish,REC,2018,255
Blue rockfish,REC,2019,190
Bocaccio,REC,2016,0
Bocaccio,REC,2017,0
Bocaccio,REC,2018,71
Bocaccio,REC,2019,32
Brown rockfish,REC,2016,0
Brown rockfish,REC,2017,0
Brown rockfish,REC,2018,24
Brown rockfish,REC,2019,1
cabezon,REC,2016,0
cabezon,REC,2017,0
cabezon,REC,2018,3
cabezon,REC,2019,5
Canary rockfish,REC,2016,0
Canary rockfish,REC,2017,0
Canary rockfish,REC,2018,122
Canary rockfish,REC,2019,41
China rockfish,REC,2016,0
China rockfish,REC,2017,0
China rockfish,REC,2018,8
China rockfish,REC,2019,11
Copper rockfish,REC,2016,0
Copper rockfish,REC,2017,0
Copper rockfish,REC,2018,27
Copper rockfish,REC,2019,14
Gopher rockfish,REC,2016,0
Gopher rockfish,REC,2017,0
Gopher rockfish,REC,2018,5
Gopher rockfish,REC,2019,21
Greenspotted rockfsih,REC,2016,0
Greenspotted rockfsih,REC,2017,0
Greenspotted rockfsih,REC,2018,0
Greenspotted rockfsih,REC,2019,1
Kelp greenling,REC,2016,0
Kelp greenling,REC,2017,0
Kelp greenling,REC,2018,6
Kelp greenling,REC,2019,1
Kelp rockfish,REC,2016,0
Kelp rockfish,REC,2017,0
Kelp rockfish,REC,2018,0
Kelp rockfish,REC,2019,1
Lingcod,REC,2016,0
Lingcod,REC,2017,51
Lingcod,REC,2018,225
Lingcod,REC,2019,52
Olive rockfish,REC,2016,0
Olive rockfish,REC,2017,0
Olive rockfish,REC,2018,100
Olive rockfish,REC,2019,37
Quillback rockfish,REC,2016,0
Quillback rockfish,REC,2017,0
Quillback rockfish,REC,2018,11
Quillback rockfish,REC,2019,18
Starry rockfish,REC,2016,0
Starry rockfish,REC,2017,0
Starry rockfish,REC,2018,7
Starry rockfish,REC,2019,29
Tiger rockfish,REC,2016,0
Tiger rockfish,REC,2017,0
Tiger rockfish,REC,2018,0
Tiger rockfish,REC,2019,3
Treefish rockfish,REC,2016,0
Treefish rockfish,REC,2017,0
Treefish rockfish,REC,2018,0
Treefish rockfish,REC,2019,2
Vermilion rockfish,REC,2016,0
Vermilion rockfish,REC,2017,0
Vermilion rockfish,REC,2018,76
Vermilion rockfish,REC,2019,41
Widow rockfish,REC,2016,0
Widow rockfish,REC,2017,0
Widow rockfish,REC,2018,24
Widow rockfish,REC,2019,3
Yelloweye rockfish,REC,2016,1
Yelloweye rockfish,REC,2017,67
Yelloweye rockfish,REC,2018,70
Yelloweye rockfish,REC,2019,73
Yellowtail rockfish,REC,2016,0
Yellowtail rockfish,REC,2017,0
Yellowtail rockfish,REC,2018,96
Yellowtail rockfish,REC,2019,121
Black and yellow rockfish,REC,2021,1
China rockfish,REC,2021,1
Copper rockfish,REC,2021,5
Vermilion rockfish,REC,2021,2
Quillback rockfish,REC,2021,33
Yelloweye rockfish,REC,2021,42
