"common_name","state","sample_year","positive_sites","sexed_fish","unsexed_fish","lengthed","aged","otoliths","data_type"
"bank rockfish","C",2004,8,12,0,12,0,12,"nwfsc_hkl"
"bank rockfish","C",2005,10,24,0,24,0,23,"nwfsc_hkl"
"bank rockfish","C",2006,12,49,0,49,0,49,"nwfsc_hkl"
"bank rockfish","C",2007,8,15,0,15,0,15,"nwfsc_hkl"
"bank rockfish","C",2008,10,39,0,39,0,40,"nwfsc_hkl"
"bank rockfish","C",2009,11,30,0,30,0,30,"nwfsc_hkl"
"bank rockfish","C",2010,13,75,0,75,0,75,"nwfsc_hkl"
"bank rockfish","C",2011,8,32,0,32,0,31,"nwfsc_hkl"
"bank rockfish","C",2012,16,25,0,25,0,25,"nwfsc_hkl"
"bank rockfish","C",2013,11,38,0,38,0,38,"nwfsc_hkl"
"bank rockfish","C",2014,30,132,1,133,0,131,"nwfsc_hkl"
"bank rockfish","C",2015,48,385,2,387,0,387,"nwfsc_hkl"
"bank rockfish","C",2016,43,312,0,312,0,312,"nwfsc_hkl"
"bank rockfish","C",2017,42,382,1,383,0,378,"nwfsc_hkl"
"bank rockfish","C",2018,55,560,0,560,0,560,"nwfsc_hkl"
"bank rockfish","C",2019,49,418,0,418,0,414,"nwfsc_hkl"
"bank rockfish","C",2021,50,307,2,309,0,308,"nwfsc_hkl"
"blackgill rockfish","C",2010,1,1,0,1,0,1,"nwfsc_hkl"
"blackgill rockfish","C",2013,1,1,0,1,0,1,"nwfsc_hkl"
"blackgill rockfish","C",2018,2,3,0,3,0,3,"nwfsc_hkl"
"blue and deacon rockfish","C",2004,6,47,0,47,0,47,"nwfsc_hkl"
"blue and deacon rockfish","C",2005,9,64,0,64,0,65,"nwfsc_hkl"
"blue and deacon rockfish","C",2006,9,40,0,40,0,40,"nwfsc_hkl"
"blue and deacon rockfish","C",2007,5,21,0,21,0,21,"nwfsc_hkl"
"blue and deacon rockfish","C",2008,7,39,0,39,0,39,"nwfsc_hkl"
