pacfin.code,species
ARRA,aurora rockfish
ARTH,arrowtooth flounder
BANK,bank rockfish
BCAC,bocaccio
BLCK,black rockfish
BLGL,blackgill rockfish
BLUR,blue rockfish
BRWN,brown rockfish
BSKT,big skate
BSPR,blackspotted rockfish
BYEL,black and yellow rockfish
CBZN,cabezon
CHNA,china rockfish
CLPR,chilipepper
CNRY,canary rockfish
COPP,copper rockfish
CWCD,cowcod
DBRK,darkblotched rockfish
DOVR,dover sole
DSRK,pacific spiny dogfish
EGLS,english sole
FLAG,flag rockfish
FSOL,flathead sole
GPHR,gopher rockfish
GRAS,grass rockfish
GSPT,greenspotted rockfish
GSRK,greenstriped rockfish
HBRK,halfbanded rockfish
HNYC,honeycomb rockfish
KLPG,kelp greenling
KLPR,kelp rockfish
LCOD,lingcod
LSKT,longnose skate
LSPN,longspine thornyhead
OLVE,olive rockfish
PCOD,pacific cod
PDAB,pacific sanddab
POP,pacific ocean perch
PTRL,petrale sole
QLBK,quillback rockfish
RDBD,redbanded rockfish
REDS,redstripe rockfish
REX,rex sole
REYE,rougheye rockfish
RSOL,rock sole
SABL,sablefish
SCOR,california scorpionfish
SHRP,sharpchin rockfish
SNOS,splitnose rockfish
SPKL,speckled rockfish
SQRS,squarespot rockfish
SRKR,shortraker rockfish
SSOL,sand sole
SSPN,shortspine thornyhead 
STAR,starry rockfish
STRK,stripetail rockfish
STRY,starry flounder
TIGR,tiger rockfish
TREE,treefish rockfish
VRML,vermilion rockfish
WDOW,widow rockfish
YEYE,yelloweye rockfish
YTRK,yellowtail rockfish
CSOL,curlfi  sole
LPDS,leopard shark
SLGR,silvergray rockfish
RSTN,rosethorn rockfish
ROSY,rosy rockfish
YMTH,yellowmouth rockfish
