data_source_agency_code,sample_year,species_name,data_type_name,statistical_area_code,pfmc_area_code,mfbds_v_sample.punch_card_area_code,mfbds_v_fish.punch_card_area_code,stock_region,CountOffish_length,CountOffish_weight,CountOfsex_code,CountOfbest_age,CountOfage_structure_code,age_structure_name
WDFW,2002,Black Rockfish,Sport,,,1,,"Coastal, WA ",176,175,0,0,0,No age structure taken
WDFW,2002,Black Rockfish,Sport,,,2,,"Coastal, WA ",899,0,850,895,899,Otolith
WDFW,2002,Black Rockfish,Sport,,,3,,"Coastal, WA ",25,25,0,0,0,No age structure taken
WDFW,2002,Black Rockfish,Sport,,,3,,"Coastal, WA ",200,0,200,199,200,Otolith
WDFW,2002,Black Rockfish,Sport,,,4,,"Coastal, WA ",529,529,0,0,0,No age structure taken
WDFW,2002,Black Rockfish,Sport,,,4,,"Coastal, WA ",800,0,800,800,800,Otolith
WDFW,2002,Blue/Deacon Rockfish,Sport,,,1,,"Coastal, WA ",4,4,0,0,0,No age structure taken
WDFW,2002,Blue/Deacon Rockfish,Sport,,,2,,"Coastal, WA ",10,0,10,0,0,No age structure taken
WDFW,2002,Blue/Deacon Rockfish,Sport,,,4,,"Coastal, WA ",28,28,0,0,0,No age structure taken
WDFW,2002,Cabezon,Sport,,,2,,"Coastal, WA ",24,0,24,0,24,Fin
WDFW,2002,Cabezon,Sport,,,2,,"Coastal, WA ",30,0,24,0,0,No age structure taken
WDFW,2002,Cabezon,Sport,,,4,,"Coastal, WA ",30,30,0,0,0,No age structure taken
WDFW,2002,Canary Rockfish,Sport,,,1,,"Coastal, WA ",3,3,0,0,0,No age structure taken
WDFW,2002,Canary Rockfish,Sport,,,2,,"Coastal, WA ",147,0,142,0,0,No age structure taken
WDFW,2002,Canary Rockfish,Sport,,,3,,"Coastal, WA ",2,1,0,0,0,No age structure taken
WDFW,2002,Canary Rockfish,Sport,,,4,,"Coastal, WA ",46,46,0,0,0,No age structure taken
WDFW,2002,China Rockfish,Sport,,,1,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2002,China Rockfish,Sport,,,2,,"Coastal, WA ",24,0,24,0,0,No age structure taken
WDFW,2002,China Rockfish,Sport,,,4,,"Coastal, WA ",27,27,0,0,0,No age structure taken
WDFW,2002,China Rockfish,Sport,,,4,,"Coastal, WA ",11,0,11,11,11,Otolith
WDFW,2002,China Rockfish,Sport,,,,,No Area Data,5,5,0,0,0,No age structure taken
WDFW,2002,Chub Mackerel,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Copper Rockfish,Sport,,,2,,"Coastal, WA ",42,0,42,0,0,No age structure taken
WDFW,2002,Copper Rockfish,Sport,,,3,,"Coastal, WA ",3,0,0,0,0,No age structure taken
WDFW,2002,Copper Rockfish,Sport,,,4,,"Coastal, WA ",19,19,0,0,0,No age structure taken
WDFW,2002,Copper Rockfish,Sport,,,4,,"Coastal, WA ",19,0,19,19,19,Otolith
WDFW,2002,Grass Rockfish,Sport,,,2,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Kelp Greenling,Sport,,,1,,"Coastal, WA ",4,3,0,0,0,No age structure taken
WDFW,2002,Kelp Greenling,Sport,,,2,,"Coastal, WA ",9,0,9,0,0,No age structure taken
WDFW,2002,Kelp Greenling,Sport,,,3,,"Coastal, WA ",3,0,0,0,0,No age structure taken
WDFW,2002,Kelp Greenling,Sport,,,4,,"Coastal, WA ",86,86,0,0,0,No age structure taken
WDFW,2002,Lingcod,Sport,,,1,,"Coastal, WA ",8,8,0,0,0,No age structure taken
WDFW,2002,Lingcod,Sport,,,2,,"Coastal, WA ",313,0,313,312,313,Fin
WDFW,2002,Lingcod,Sport,,,2,,"Coastal, WA ",110,0,0,0,0,No age structure taken
WDFW,2002,Lingcod,Sport,,,4,,"Coastal, WA ",342,0,342,342,342,Fin
WDFW,2002,Lingcod,Sport,,,4,,"Coastal, WA ",346,46,300,0,0,No age structure taken
WDFW,2002,Lingcod,Sport,,,5,,"Puget Sound, WA",1,0,1,1,1,Fin
WDFW,2002,Lingcod,Sport,,,6,,"Puget Sound, WA",15,0,15,15,15,Fin
WDFW,2002,Lingcod,Sport,,,7,,"Puget Sound, WA",87,0,87,86,87,Fin
WDFW,2002,Lingcod,Sport,,,8,,"Puget Sound, WA",164,1,164,164,164,Fin
WDFW,2002,Lingcod,Sport,,,9,,"Puget Sound, WA",2,0,2,2,2,Fin
WDFW,2002,Pacific Cod,Sport,,,4,,"Coastal, WA ",3,3,0,0,0,No age structure taken
WDFW,2002,Quillback Rockfish,Sport,,,1,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2002,Quillback Rockfish,Sport,,,2,,"Coastal, WA ",237,0,226,0,0,No age structure taken
WDFW,2002,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",16,16,0,0,0,No age structure taken
WDFW,2002,Quillback Rockfish,Sport,,,4,,"Coastal, WA ",9,0,9,9,9,Otolith
WDFW,2002,Redbanded Rockfish,Sport,,,2,,"Coastal, WA ",20,0,20,0,0,No age structure taken
WDFW,2002,Red Irish Lord,Sport,,,4,,"Coastal, WA ",2,2,0,0,0,No age structure taken
WDFW,2002,Starry Flounder,Sport,,,2,,"Coastal, WA ",3,0,3,0,3,Fin
WDFW,2002,Starry Flounder,Sport,,,2,,"Coastal, WA ",6,0,6,0,0,No age structure taken
WDFW,2002,Tiger Rockfish,Sport,,,2,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2002,Tiger Rockfish,Sport,,,4,,"Coastal, WA ",1,0,1,0,1,Otolith
WDFW,2002,Vermilion Rockfish,Sport,,,4,,"Coastal, WA ",5,5,0,0,0,No age structure taken
WDFW,2002,Vermilion Rockfish,Sport,,,4,,"Coastal, WA ",3,0,3,3,3,Otolith
WDFW,2002,Yellowtail Rockfish,Sport,,,1,,"Coastal, WA ",3,3,0,0,0,No age structure taken
WDFW,2002,Yellowtail Rockfish,Sport,,,2,,"Coastal, WA ",172,0,172,0,0,No age structure taken
WDFW,2002,Yellowtail Rockfish,Sport,,,4,,"Coastal, WA ",19,19,0,0,0,No age structure taken
WDFW,2003,Black Rockfish,Sport,,,1,,"Coastal, WA ",446,96,0,0,0,No age structure taken
WDFW,2003,Black Rockfish,Sport,,,2,,"Coastal, WA ",800,0,800,797,800,Otolith
