"Common_name","State","Source","set_tows","total_lengths","total_ages","total_otoliths","n_years","ave_set_tows","ave_lengths","ave_ages","ave_otoliths"
"California scorpionfish","California","CCFRP",1,340,0,0,6,0,56,0,0
"California scorpionfish","California","Commercial",1,768,0,0,24,0,32,0,0
"California scorpionfish","California","NWFSC HKL",27,42,0,22,11,2,3,0,2
"California scorpionfish","California","NWFSC WCGBT",254,3992,911,939,20,12,199,45,46
"California scorpionfish","California","Recreational",1,62590,0,0,21,0,2980,0,0
"California scorpionfish","California","SWFSC-CPFV Coop.",1,85,0,85,1,1,85,0,85
"China rockfish","California","CCFRP",1,2017,0,0,16,0,126,0,0
"China rockfish","California","CDFW-Ad hoc",1,0,0,68,7,0,0,0,9
"China rockfish","California","Commercial",1,1650,0,2,24,0,68,0,0
"China rockfish","California","Recreational",1,17298,0,0,20,0,864,0,0
"China rockfish","California","SWFSC-CPFV Coop.",1,3,0,3,1,1,3,0,3
"China rockfish","Oregon","Commercial",1,18209,1393,1371,24,0,758,58,57
"China rockfish","Oregon","Recreational",1,14403,928,1472,23,0,626,40,64
"China rockfish","Washington","Recreational",1,4526,1293,1460,23,0,196,56,63
"Dover sole","California","Commercial",1,45970,11407,6466,24,0,1915,475,269
"Dover sole","California","NWFSC WCGBT",5466,83404,8577,5310,20,273,4170,428,265
"Dover sole","California","Recreational",1,9,0,0,4,0,2,0,0
"Dover sole","Oregon","Commercial",1,62878,10192,34093,24,0,2619,424,1420
"Dover sole","Oregon","NWFSC WCGBT",3336,63022,5454,3592,20,166,3151,272,179
"Dover sole","Oregon","Recreational",1,22,0,0,9,0,2,0,0
"Dover sole","Washington","Commercial",1,25415,7385,8651,24,0,1058,307,360
"Dover sole","Washington","NWFSC WCGBT",1790,35481,2866,2074,20,89,1774,143,103
"Dover sole","Washington","Recreational",1,2,0,0,1,1,2,0,0
"English sole","California","Commercial",1,23868,0,1583,24,0,994,0,65
"English sole","California","NWFSC WCGBT",2658,43625,478,8592,20,132,2181,23,429
"English sole","California","Recreational",1,17,0,0,7,0,2,0,0
"English sole","Oregon","Commercial",1,32135,1015,24612,24,0,1338,42,1025
"English sole","Oregon","NWFSC WCGBT",1571,28590,264,4810,20,78,1429,13,240
"English sole","Oregon","Recreational",1,24,0,0,10,0,2,0,0
"English sole","Washington","Commercial",1,19160,10482,2601,24,0,798,436,108
"English sole","Washington","NWFSC WCGBT",1056,14697,156,3124,20,52,734,7,156
"English sole","Washington","Recreational",1,2,0,1,2,0,1,0,0
"Pacific cod","California","Commercial",1,28,0,9,24,0,1,0,0
"Pacific cod","California","NWFSC WCGBT",6,14,0,0,2,3,7,0,0
"Pacific cod","Oregon","Commercial",1,4491,0,4249,17,0,264,0,249
"Pacific cod","Oregon","NWFSC WCGBT",88,279,0,98,16,5,17,0,6
"Pacific cod","Oregon","Recreational",1,57,0,0,9,0,6,0,0
"Pacific cod","Washington","Commercial",1,15909,346,1656,24,0,662,14,69
"Pacific cod","Washington","NWFSC WCGBT",483,3865,0,1387,20,24,193,0,69
"Pacific cod","Washington","Recreational",1,377,0,124,12,0,31,0,10
"Pacific ocean perch","California","Commercial",1,1133,0,592,24,0,47,0,24
"Pacific ocean perch","California","NWFSC WCGBT",61,223,78,144,18,3,12,4,8
"Pacific ocean perch","Oregon","Commercial",1,36258,11948,20442,24,0,1510,497,851
"Pacific ocean perch","Oregon","NWFSC WCGBT",563,7466,2669,2797,20,28,373,133,139
"Pacific ocean perch","Oregon","Recreational",1,5,0,0,4,0,1,0,0
"Pacific ocean perch","Washington","Commercial",1,13106,6847,2873,24,0,546,285,119
"Pacific ocean perch","Washington","NWFSC WCGBT",326,9131,3135,2284,20,16,456,156,114
"Pacific ocean perch","Washington","Recreational",1,13,2,4,5,0,2,0,0
"Pacific sanddab","California","CCFRP",1,222,0,0,16,0,13,0,0
"Pacific sanddab","California","Commercial",1,24256,1105,446,24,0,1010,46,18
"Pacific sanddab","California","NWFSC WCGBT",2352,52433,4714,3709,20,117,2621,235,185
"Pacific sanddab","California","Recreational",1,47230,0,0,21,0,2249,0,0
"Pacific sanddab","Oregon","Commercial",1,14051,2707,10305,24,0,585,112,429
"Pacific sanddab","Oregon","NWFSC WCGBT",1182,25567,2241,1885,20,59,1278,112,94
"Pacific sanddab","Oregon","Recreational",1,1588,0,0,23,0,69,0,0
"Pacific sanddab","Washington","Commercial",1,120,0,50,24,0,5,0,2
"Pacific sanddab","Washington","NWFSC WCGBT",607,11660,1006,990,20,30,583,50,49
"Pacific sanddab","Washington","Recreational",1,9,0,0,3,0,3,0,0
"Pacific spiny dogfish","California","CCFRP",1,2,0,0,1,1,2,0,0
"Pacific spiny dogfish","California","Commercial",1,330,0,0,24,0,13,0,0
"Pacific spiny dogfish","California","NWFSC HKL",7,7,0,0,6,1,1,0,0
"Pacific spiny dogfish","California","NWFSC WCGBT",1644,17599,285,4609,20,82,879,14,230
"Pacific spiny dogfish","Oregon","Commercial",1,4049,0,958,16,0,253,0,59
"Pacific spiny dogfish","Oregon","NWFSC WCGBT",755,4014,124,1711,20,37,200,6,85
"Pacific spiny dogfish","Washington","Commercial",1,9569,3473,1432,24,0,398,144,59
"Pacific spiny dogfish","Washington","NWFSC WCGBT",902,11646,182,2922,20,45,582,9,146
"arrowtooth flounder","California","Commercial",1,7596,0,0,24,0,316,0,0
"arrowtooth flounder","California","NWFSC WCGBT",997,9422,802,2593,20,49,471,40,129
"arrowtooth flounder","California","Recreational",1,19,0,0,8,0,2,0,0
"arrowtooth flounder","Oregon","Commercial",1,21739,0,18285,18,0,1207,0,1015
"arrowtooth flounder","Oregon","NWFSC WCGBT",2181,26157,2078,6129,20,109,1307,103,306
"arrowtooth flounder","Oregon","Recreational",1,136,0,0,22,0,6,0,0
"arrowtooth flounder","Washington","Commercial",1,13612,763,3461,24,0,567,31,144
"arrowtooth flounder","Washington","NWFSC WCGBT",1337,21622,1448,4225,20,66,1081,72,211
"arrowtooth flounder","Washington","Recreational",1,29,0,18,9,0,3,0,2
"aurora rockfish","California","Commercial",1,20697,723,3170,24,0,862,30,132
"aurora rockfish","California","NWFSC WCGBT",1097,25467,2269,7604,20,54,1273,113,380
"aurora rockfish","Oregon","Commercial",1,12761,480,12010,22,0,580,21,545
"aurora rockfish","Oregon","NWFSC WCGBT",505,5112,749,2701,20,25,255,37,135
"aurora rockfish","Washington","Commercial",1,1342,0,692,24,0,55,0,28
"aurora rockfish","Washington","NWFSC WCGBT",68,459,72,250,20,3,22,3,12
"bank rockfish","California","Commercial",1,10282,0,1146,24,0,428,0,47
"bank rockfish","California","NWFSC HKL",521,3442,0,3399,19,27,181,0,178
"bank rockfish","California","NWFSC WCGBT",228,1993,0,1351,20,11,99,0,67
"bank rockfish","California","Recreational",1,854,0,0,20,0,42,0,0
"bank rockfish","California","SWFSC-CPFV Coop.",1,15,0,15,1,1,15,0,15
"bank rockfish","Oregon","Commercial",1,1615,0,1569,21,0,76,0,74
"bank rockfish","Oregon","NWFSC WCGBT",18,139,0,52,13,1,10,0,4
"bank rockfish","Washington","Commercial",1,244,0,236,24,0,10,0,9
"bank rockfish","Washington","NWFSC WCGBT",3,4,0,4,3,1,1,0,1
"big skate","California","CCFRP",1,1,0,0,1,1,1,0,0
"big skate","California","Commercial",1,1579,0,0,24,0,65,0,0
"big skate","California","NWFSC WCGBT",628,2205,351,102,19,33,116,18,5
"big skate","California","Recreational",1,33,0,0,13,0,2,0,0
"big skate","Oregon","Commercial",1,6920,652,1877,23,0,300,28,81
"big skate","Oregon","NWFSC WCGBT",727,2359,386,270,19,38,124,20,14
"big skate","Oregon","Recreational",1,14,0,0,9,0,1,0,0
"big skate","Washington","Commercial",1,1450,104,537,24,0,60,4,22
"big skate","Washington","NWFSC WCGBT",475,2135,297,209,19,25,112,15,11
"black rockfish","California","CCFRP",1,18732,0,0,16,0,1170,0,0
"black rockfish","California","CDFW-Ad hoc",1,0,0,790,7,0,0,0,112
"black rockfish","California","Commercial",1,13182,1461,1896,24,0,549,60,79
"black rockfish","California","NWFSC WCGBT",3,3,0,3,3,1,1,0,1
"black rockfish","California","Recreational",1,138362,0,0,21,0,6588,0,0
"black rockfish","California","SWFSC-CPFV Coop.",1,140,0,140,1,1,140,0,140
"black rockfish","Oregon","Commercial",1,90402,16456,18719,24,0,3766,685,779
"black rockfish","Oregon","NWFSC WCGBT",5,11,0,11,3,1,3,0,3
"black rockfish","Oregon","Recreational",1,243233,34289,7221,24,0,10134,1428,300
"black rockfish","Washington","Commercial",1,95,20,0,24,0,3,0,0
"black rockfish","Washington","NWFSC WCGBT",2,2,0,2,2,1,1,0,1
