"Common_name","State","Source","Year","set_tows","total_lengths","total_ages","total_otoliths"
"California scorpionfish","California","CCFRP",2017,1,37,0,0
"California scorpionfish","California","CCFRP",2018,1,53,0,0
"California scorpionfish","California","CCFRP",2019,1,61,0,0
"California scorpionfish","California","CCFRP",2020,1,60,0,0
"California scorpionfish","California","CCFRP",2021,1,53,0,0
"California scorpionfish","California","CCFRP",2022,1,76,0,0
"California scorpionfish","California","Commercial",2000,1,0,0,0
"California scorpionfish","California","Commercial",2001,1,0,0,0
"California scorpionfish","California","Commercial",2002,1,0,0,0
"California scorpionfish","California","Commercial",2003,1,0,0,0
"California scorpionfish","California","Commercial",2004,1,0,0,0
"California scorpionfish","California","Commercial",2005,1,0,0,0
"California scorpionfish","California","Commercial",2006,1,33,0,0
"California scorpionfish","California","Commercial",2007,1,0,0,0
"California scorpionfish","California","Commercial",2008,1,0,0,0
"California scorpionfish","California","Commercial",2009,1,0,0,0
"California scorpionfish","California","Commercial",2010,1,0,0,0
"California scorpionfish","California","Commercial",2011,1,0,0,0
"California scorpionfish","California","Commercial",2012,1,1,0,0
"California scorpionfish","California","Commercial",2013,1,244,0,0
"California scorpionfish","California","Commercial",2014,1,51,0,0
"California scorpionfish","California","Commercial",2015,1,164,0,0
"California scorpionfish","California","Commercial",2016,1,252,0,0
"California scorpionfish","California","Commercial",2017,1,0,0,0
"California scorpionfish","California","Commercial",2018,1,23,0,0
"California scorpionfish","California","Commercial",2019,1,0,0,0
"California scorpionfish","California","Commercial",2020,1,0,0,0
"California scorpionfish","California","Commercial",2021,1,0,0,0
"California scorpionfish","California","Commercial",2022,1,0,0,0
"California scorpionfish","California","Commercial",2023,1,0,0,0
"California scorpionfish","California","NWFSC HKL",2005,1,1,0,0
"California scorpionfish","California","NWFSC HKL",2006,2,2,0,1
"California scorpionfish","California","NWFSC HKL",2007,1,1,0,0
"California scorpionfish","California","NWFSC HKL",2010,1,1,0,0
"California scorpionfish","California","NWFSC HKL",2014,2,2,0,0
"California scorpionfish","California","NWFSC HKL",2015,5,7,0,0
"California scorpionfish","California","NWFSC HKL",2017,2,3,0,0
"California scorpionfish","California","NWFSC HKL",2018,2,4,0,3
"California scorpionfish","California","NWFSC HKL",2021,3,4,0,2
"California scorpionfish","California","NWFSC HKL",2022,5,9,0,8
"California scorpionfish","California","NWFSC HKL",2023,3,8,0,8
"California scorpionfish","California","NWFSC WCGBT",2003,7,74,0,0
"California scorpionfish","California","NWFSC WCGBT",2004,12,156,0,0
"California scorpionfish","California","NWFSC WCGBT",2005,10,226,103,0
"California scorpionfish","California","NWFSC WCGBT",2006,11,47,45,1
"California scorpionfish","California","NWFSC WCGBT",2007,12,191,68,0
"California scorpionfish","California","NWFSC WCGBT",2008,12,50,49,1
"California scorpionfish","California","NWFSC WCGBT",2009,11,347,130,0
"California scorpionfish","California","NWFSC WCGBT",2010,10,58,42,0
"California scorpionfish","California","NWFSC WCGBT",2011,16,239,116,1
"California scorpionfish","California","NWFSC WCGBT",2012,9,94,66,0
"California scorpionfish","California","NWFSC WCGBT",2013,7,259,67,0
"California scorpionfish","California","NWFSC WCGBT",2014,6,93,73,0
