"Common_name","set_tows","total_lengths","total_ages","total_otoliths","years_since_assessment","ave_set_tows","ave_lengths","ave_ages","ave_otoliths"
"California scorpionfish",15,28,0,21,5,3,5,0,4
"Pacific spiny dogfish",2,2,0,0,2,1,1,0,0
"bank rockfish",521,3442,0,3399,19,27,181,0,178
"blackgill rockfish",3,4,0,4,2,1,2,0,2
"bocaccio",945,8040,0,3108,6,157,1340,0,518
"brown rockfish",4,6,0,5,4,1,1,0,1
"canary rockfish",8,20,0,19,1,8,20,0,19
"chilipepper",281,1666,0,1563,8,35,208,0,195
"copper rockfish",27,86,0,81,1,27,86,0,81
"cowcod",158,383,0,378,4,39,95,0,94
"flag rockfish",171,222,0,200,19,9,11,0,10
"greenspotted rockfish",843,4282,0,4123,12,70,356,0,343
"greenstriped rockfish",446,1033,0,1018,14,31,73,0,72
"honeycomb rockfish",119,254,0,223,19,6,13,0,11
"lingcod",63,76,0,9,3,21,25,0,3
"olive rockfish",236,715,0,629,19,12,37,0,33
"rosethorn rockfish",6,36,0,27,4,1,9,0,6
"rosy rockfish",446,1228,181,961,19,23,64,9,50
"rougheye and blackspotted rockfish",1,1,0,1,1,1,1,0,1
"sharpchin rockfish",8,13,0,13,7,1,1,0,1
"silvergray rockfish",4,4,0,3,4,1,1,0,0
"speckled rockfish",904,4408,0,4222,19,47,232,0,222
"squarespot rockfish",157,593,0,558,3,52,197,0,186
"starry rockfish",992,3216,0,3092,19,52,169,0,162
"stripetail rockfish",2,2,0,2,2,1,1,0,1
"treefish",8,8,0,4,6,1,1,0,0
"vermilion and sunset rockfish",469,7041,0,2783,3,156,2347,0,927
"widow rockfish",56,144,0,132,4,14,36,0,33
"yelloweye rockfish",57,105,0,103,6,9,17,0,17
"yellowtail rockfish",254,1932,124,1503,19,13,101,6,79
NA,1,NA,0,NA,1,1,NA,0,NA
