"Common_name","set_tows","total_lengths","total_ages","total_otoliths","years_since_assessment","ave_set_tows","ave_lengths","ave_ages","ave_otoliths"
"California scorpionfish",105,1856,0,933,6,17,309,0,155
"Dover sole",1683,16042,0,3267,3,561,5347,0,1089
"English sole",2743,34628,0,6708,10,274,3462,0,670
"Pacific cod",577,4158,0,1485,20,28,207,0,74
"Pacific ocean perch",291,4964,0,4092,6,48,827,0,682
"Pacific sanddab",4141,89660,7961,6584,20,207,4483,398,329
"Pacific spiny dogfish",395,2308,0,315,3,131,769,0,105
"arrowtooth flounder",1270,9608,0,4147,6,211,1601,0,691
"aurora rockfish",789,15291,1,7219,10,78,1529,0,721
"bank rockfish",249,2136,0,1407,20,12,106,0,70
"big skate",367,1469,0,551,4,91,367,0,137
"blackgill rockfish",213,3529,0,2691,6,35,588,0,448
"bocaccio",388,3884,0,2856,6,64,647,0,476
"brown rockfish",68,480,0,412,10,6,48,0,41
"cabezon",1,3,0,3,1,1,3,0,3
"canary rockfish",60,601,0,376,1,60,601,0,376
"chilipepper",778,8594,0,4766,8,97,1074,0,595
"copper rockfish",9,131,0,84,1,9,131,0,84
"cowcod",79,187,0,186,4,19,46,0,46
"curlfin sole",1471,10624,0,1613,20,73,531,0,80
"darkblotched rockfish",668,9473,0,3874,6,111,1578,0,645
"flag rockfish",131,493,3,365,20,6,24,0,18
"flathead sole",1033,11552,0,3453,20,51,577,0,172
"greenspotted rockfish",397,4446,0,3229,12,33,370,0,269
"greenstriped rockfish",2281,27380,0,8998,14,162,1955,0,642
"honeycomb rockfish",28,301,0,188,17,1,17,0,11
"kelp greenling",74,350,0,321,8,9,43,0,40
"kelp rockfish",1,5,0,5,1,1,5,0,5
"lingcod",594,3797,0,1764,3,198,1265,0,588
"longnose skate",1424,11240,0,624,4,356,2810,0,156
"longspine thornyhead",2103,41501,0,5414,10,210,4150,0,541
"olive rockfish",4,6,0,6,3,1,2,0,2
"petrale sole",277,3656,0,777,1,277,3656,0,777
"quillback rockfish",12,28,0,28,3,4,9,0,9
"redbanded rockfish",1052,3833,0,3637,20,52,191,0,181
"redstripe rockfish",256,7685,0,3630,20,12,384,0,181
"rex sole",406,4014,0,417,1,406,4014,0,417
"rosethorn rockfish",963,19468,0,8157,20,48,973,0,407
"rosy rockfish",41,376,0,196,16,2,23,0,12
"rougheye and blackspotted rockfish",256,1007,0,931,10,25,100,0,93
"sablefish",483,6595,0,1734,1,483,6595,0,1734
"sand sole",199,1202,0,591,20,9,60,0,29
"sharpchin rockfish",862,19560,0,8480,20,43,978,0,424
"shortraker rockfish",16,52,0,48,10,1,5,0,4
"shortspine thornyhead",323,4541,0,636,1,323,4541,0,636
"silvergray rockfish",125,830,0,715,20,6,41,0,35
"speckled rockfish",31,285,0,157,13,2,21,0,12
"splitnose rockfish",1754,26607,0,8465,14,125,1900,0,604
"squarespot rockfish",31,741,0,352,3,10,247,0,117
"starry flounder",183,545,0,493,19,9,28,0,25
"starry rockfish",43,86,0,80,17,2,5,0,4
"stripetail rockfish",2777,50765,0,10963,20,138,2538,0,548
"treefish",1,1,0,1,1,1,1,0,1
"vermilion and sunset rockfish",58,806,0,637,3,19,268,0,212
"widow rockfish",87,569,0,446,4,21,142,0,111
"yelloweye rockfish",104,299,0,299,6,17,49,0,49
"yellowmouth rockfish",42,583,0,314,13,3,44,0,24
"yellowtail rockfish",300,4873,0,2859,6,50,812,0,476
NA,1,NA,0,NA,1,1,NA,0,NA
