species,year,source,SumOftotal
ARRA,1977,COM,24
ARRA,1978,COM,16
ARRA,1980,COM,33
ARRA,1981,COM,39
ARRA,1982,COM,43
ARRA,1983,COM,524
ARRA,1984,COM,414
ARRA,1985,COM,847
ARRA,1986,COM,66
ARRA,2000,COM,22
ARRA,2002,COM,620
ARRA,2003,COM,413
ARRA,2004,COM,235
ARRA,2005,COM,382
ARRA,2006,COM,381
ARRA,2007,COM,240
ARRA,2009,COM,196
ARRA,2010,COM,69
ARRA,2011,COM,795
ARRA,2012,COM,744
ARRA,2013,COM,364
ARRA,2014,COM,115
ARRA,2015,COM,458
ARRA,2016,COM,161
ARRA,2017,COM,63
ARRA,2018,COM,22
ARTH,1980,COM,2
ARTH,2011,COM,215
ARTH,2012,COM,141
ARTH,2013,COM,44
ARTH,2014,COM,47
ARTH,2015,COM,135
ARTH,2016,COM,105
ARTH,2017,COM,2
BANK,1977,COM,201
BANK,1978,COM,1
BANK,1979,COM,6
BANK,1980,COM,1
BANK,1982,COM,292
BANK,1983,COM,226
BANK,1984,COM,1592
BANK,1985,COM,4231
BANK,1986,COM,2385
BANK,1987,COM,1017
BANK,1988,COM,1633
BANK,1989,COM,461
BANK,1990,COM,1260
BANK,1991,COM,1897
BANK,1992,COM,1081
BANK,1993,COM,770
BANK,1994,COM,435
BANK,1995,COM,281
BANK,1996,COM,606
BANK,1997,COM,1063
BANK,1998,COM,671
BANK,1999,COM,260
BANK,2000,COM,140
BANK,2001,COM,372
BANK,2002,COM,510
BANK,2003,COM,573
BANK,2004,COM,368
BANK,2005,COM,79
BANK,2006,COM,127
BANK,2007,COM,100
BANK,2008,COM,250
BANK,2009,COM,58
BANK,2010,COM,81
BANK,2011,COM,74
BANK,2012,COM,63
BANK,2013,COM,176
BANK,2014,COM,46
BANK,2015,COM,134
BANK,2016,COM,81
BANK,2017,COM,126
BANK,2018,COM,36
BCAC,1975,COM,107
BCAC,1976,COM,24
BCAC,1977,COM,806
BCAC,1978,COM,547
BCAC,1979,COM,175
BCAC,1980,COM,1490
BCAC,1981,COM,1341
BCAC,1982,COM,1851
BCAC,1983,COM,2478
BCAC,1984,COM,2577
BCAC,1985,COM,3210
BCAC,1986,COM,3576
BCAC,1987,COM,3396
BCAC,1988,COM,3044
BCAC,1989,COM,3309
BCAC,1990,COM,2734
