"","common_name","state","sample_year","positive_sites","sexed_fish","unsexed_fish","lengthed","aged","otoliths","data_type","name"
"1","arrowtooth flounder","C",2003,0,129,24,153,0,0,"commercial fisheries","Arrowtooth flounder"
"2","arrowtooth flounder","C",2005,0,160,1,161,0,0,"commercial fisheries","Arrowtooth flounder"
"3","arrowtooth flounder","C",2006,0,549,0,549,0,0,"commercial fisheries","Arrowtooth flounder"
"4","arrowtooth flounder","C",2007,0,362,6,368,0,0,"commercial fisheries","Arrowtooth flounder"
"5","arrowtooth flounder","C",2008,0,320,1,321,0,0,"commercial fisheries","Arrowtooth flounder"
"6","arrowtooth flounder","C",2009,0,288,16,304,0,0,"commercial fisheries","Arrowtooth flounder"
"7","arrowtooth flounder","C",2010,0,326,11,337,0,0,"commercial fisheries","Arrowtooth flounder"
"8","arrowtooth flounder","C",2011,0,647,104,750,0,215,"commercial fisheries","Arrowtooth flounder"
"9","arrowtooth flounder","C",2012,0,862,120,982,0,141,"commercial fisheries","Arrowtooth flounder"
"10","arrowtooth flounder","C",2013,0,833,29,862,0,44,"commercial fisheries","Arrowtooth flounder"
"11","arrowtooth flounder","C",2014,0,539,42,581,0,47,"commercial fisheries","Arrowtooth flounder"
"12","arrowtooth flounder","C",2015,0,573,63,636,0,135,"commercial fisheries","Arrowtooth flounder"
"13","arrowtooth flounder","C",2016,0,563,139,702,0,105,"commercial fisheries","Arrowtooth flounder"
"14","arrowtooth flounder","C",2017,0,368,21,389,0,2,"commercial fisheries","Arrowtooth flounder"
"15","arrowtooth flounder","C",2018,0,126,0,126,0,0,"commercial fisheries","Arrowtooth flounder"
"16","arrowtooth flounder","C",2019,0,127,35,162,0,0,"commercial fisheries","Arrowtooth flounder"
"17","arrowtooth flounder","C",2020,0,102,22,124,0,0,"commercial fisheries","Arrowtooth flounder"
"18","arrowtooth flounder","O",1987,0,150,0,150,0,0,"commercial fisheries","Arrowtooth flounder"
"19","arrowtooth flounder","O",1990,0,374,0,374,0,374,"commercial fisheries","Arrowtooth flounder"
"20","arrowtooth flounder","O",1991,0,550,0,550,0,550,"commercial fisheries","Arrowtooth flounder"
"21","arrowtooth flounder","O",1992,0,650,0,650,0,650,"commercial fisheries","Arrowtooth flounder"
"22","arrowtooth flounder","O",2006,0,534,0,534,0,490,"commercial fisheries","Arrowtooth flounder"
"23","arrowtooth flounder","O",2007,0,1561,0,1561,0,1231,"commercial fisheries","Arrowtooth flounder"
"24","arrowtooth flounder","O",2008,0,1488,1,1489,0,1189,"commercial fisheries","Arrowtooth flounder"
"25","arrowtooth flounder","O",2009,0,1419,2,1420,0,1269,"commercial fisheries","Arrowtooth flounder"
"26","arrowtooth flounder","O",2010,0,2225,7,2232,0,1412,"commercial fisheries","Arrowtooth flounder"
"27","arrowtooth flounder","O",2011,0,1893,0,1893,0,1863,"commercial fisheries","Arrowtooth flounder"
"28","arrowtooth flounder","O",2012,0,1219,0,1219,0,1149,"commercial fisheries","Arrowtooth flounder"
"29","arrowtooth flounder","O",2013,0,1025,4,1029,0,999,"commercial fisheries","Arrowtooth flounder"
"30","arrowtooth flounder","O",2014,0,1259,1,1260,0,1230,"commercial fisheries","Arrowtooth flounder"
"31","arrowtooth flounder","O",2015,0,1257,0,1257,0,1062,"commercial fisheries","Arrowtooth flounder"
"32","arrowtooth flounder","O",2016,0,1384,0,1384,0,1258,"commercial fisheries","Arrowtooth flounder"
"33","arrowtooth flounder","O",2017,0,1307,0,1307,0,1162,"commercial fisheries","Arrowtooth flounder"
"34","arrowtooth flounder","O",2018,0,1228,3,1231,0,1061,"commercial fisheries","Arrowtooth flounder"
"35","arrowtooth flounder","O",2019,0,1065,1,1066,0,838,"commercial fisheries","Arrowtooth flounder"
"36","arrowtooth flounder","O",2020,0,438,0,438,0,348,"commercial fisheries","Arrowtooth flounder"
"37","arrowtooth flounder","W",1986,0,950,0,950,0,847,"commercial fisheries","Arrowtooth flounder"
