data_source_agency_code,sample_year,species_name,data_type_name,statistical_area_code,pfmc_area_code,mfbds_v_sample.punch_card_area_code,mfbds_v_fish.punch_card_area_code,stock_region,CountOffish_length,CountOffish_weight,CountOfsex_code,CountOfbest_age,CountOfage_structure,age_structure_name
WDFW,2002,Arrowtooth Flounder,Commercial,12,3B,,,"Coastal, WA ",50,0,50,0,50,Otolith
WDFW,2002,Arrowtooth Flounder,Commercial,13,3C,,,"Coastal, WA ",100,0,100,0,100,Otolith
WDFW,2002,Arrowtooth Flounder,Commercial,15,3B,,,"Coastal, WA ",100,0,100,0,100,Otolith
WDFW,2002,Arrowtooth Flounder,Commercial,16,3A,,,"Coastal, WA ",250,0,250,0,250,Otolith
WDFW,2002,Aurora Rockfish,Commercial,13,3C,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2002,Aurora Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Aurora Rockfish,Commercial,15,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Aurora Rockfish,Commercial,30,3A,,,"U.S. Coastal, Non-WA",7,0,7,0,0,No age structure taken
WDFW,2002,Blackgill Rockfish,Commercial,13,3C,,,"Coastal, WA ",5,1,5,0,0,No age structure taken
WDFW,2002,Blackgill Rockfish,Commercial,14,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Blackgill Rockfish,Commercial,15,3B,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Blackgill Rockfish,Commercial,16,3A,,,"Coastal, WA ",6,0,0,0,0,No age structure taken
WDFW,2002,Blackgill Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",14,0,14,0,0,No age structure taken
WDFW,2002,Black Rockfish,Commercial,15,3B,,,"Coastal, WA ",50,0,50,0,0,No age structure taken
WDFW,2002,Bocaccio,Commercial,12,3B,,,"Coastal, WA ",110,0,110,0,0,No age structure taken
WDFW,2002,Bocaccio,Commercial,13,3C,,,"Coastal, WA ",165,0,165,0,0,No age structure taken
WDFW,2002,Bocaccio,Commercial,15,3B,,,"Coastal, WA ",19,0,19,0,0,No age structure taken
WDFW,2002,Bocaccio,Commercial,16,3A,,,"Coastal, WA ",1,0,1,0,0,No age structure taken
WDFW,2002,Bocaccio,Commercial,,,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2002,Canary Rockfish,Commercial,12,3B,,,"Coastal, WA ",147,0,120,146,147,Otolith
WDFW,2002,Canary Rockfish,Commercial,13,3C,,,"Coastal, WA ",228,8,228,225,228,Otolith
WDFW,2002,Canary Rockfish,Commercial,15,3B,,,"Coastal, WA ",212,0,212,212,212,Otolith
WDFW,2002,Canary Rockfish,Commercial,16,3A,,,"Coastal, WA ",13,0,13,13,13,Otolith
WDFW,2002,Canary Rockfish,Commercial,17,3A,,,"Coastal, WA ",46,0,46,46,46,Otolith
WDFW,2002,Darkblotched Rockfish,Commercial,12,3B,,,"Coastal, WA ",145,0,145,0,0,No age structure taken
WDFW,2002,Darkblotched Rockfish,Commercial,12,3B,,,"Coastal, WA ",72,0,72,70,72,Otolith
WDFW,2002,Darkblotched Rockfish,Commercial,13,3C,,,"Coastal, WA ",248,0,248,0,0,No age structure taken
WDFW,2002,Darkblotched Rockfish,Commercial,13,3C,,,"Coastal, WA ",25,0,25,24,25,Otolith
WDFW,2002,Darkblotched Rockfish,Commercial,15,3B,,,"Coastal, WA ",187,0,187,0,0,No age structure taken
WDFW,2002,Darkblotched Rockfish,Commercial,15,3B,,,"Coastal, WA ",198,0,198,195,198,Otolith
WDFW,2002,Darkblotched Rockfish,Commercial,16,3A,,,"Coastal, WA ",52,0,51,0,0,No age structure taken
WDFW,2002,Darkblotched Rockfish,Commercial,17,3A,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Darkblotched Rockfish,Commercial,32,2C,,,"U.S. Coastal, Non-WA",101,0,101,0,0,No age structure taken
WDFW,2002,Darkblotched Rockfish,Commercial,,,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Darkblotched Rockfish,Commercial,,,,,"Coastal, WA and Non-WA",1,0,1,0,0,No age structure taken
WDFW,2002,Dover Sole,Commercial,12,3B,,,"Coastal, WA ",201,0,201,97,202,Otolith
WDFW,2002,Dover Sole,Commercial,13,3C,,,"Coastal, WA ",350,0,350,172,350,Otolith
WDFW,2002,Dover Sole,Commercial,14,3B,,,"Coastal, WA ",100,0,100,49,100,Otolith
WDFW,2002,Dover Sole,Commercial,15,3B,,,"Coastal, WA ",50,0,50,25,50,Otolith
WDFW,2002,Dover Sole,Commercial,16,3A,,,"Coastal, WA ",150,0,150,73,150,Otolith
WDFW,2002,Dover Sole,Commercial,,,,,"Coastal, WA ",50,0,50,24,50,Otolith
WDFW,2002,English Sole,Commercial,12,3B,,,"Coastal, WA ",250,0,250,247,250,Interoperculum
WDFW,2002,English Sole,Commercial,13,3C,,,"Coastal, WA ",50,0,50,50,50,Interoperculum
WDFW,2002,English Sole,Commercial,16,3A,,,"Coastal, WA ",50,0,50,50,50,Interoperculum
WDFW,2002,English Sole,Commercial,17,3A,,,"Coastal, WA ",50,0,50,49,50,Interoperculum
WDFW,2002,Greenspotted Rockfish,Commercial,13,3C,,,"Coastal, WA ",2,0,2,0,0,No age structure taken
WDFW,2002,Greenstriped Rockfish,Commercial,12,3B,,,"Coastal, WA ",339,0,339,0,0,No age structure taken
WDFW,2002,Greenstriped Rockfish,Commercial,13,3C,,,"Coastal, WA ",1734,0,1734,0,0,No age structure taken
WDFW,2002,Greenstriped Rockfish,Commercial,15,3B,,,"Coastal, WA ",73,0,73,0,0,No age structure taken
WDFW,2002,Greenstriped Rockfish,Commercial,16,3A,,,"Coastal, WA ",4,0,4,0,0,No age structure taken
WDFW,2002,Greenstriped Rockfish,Commercial,,3B,,,"Coastal, WA ",102,0,102,0,0,No age structure taken
WDFW,2002,Lingcod,Commercial,12,3B,,,"Coastal, WA ",156,0,156,153,156,Fin
WDFW,2002,Lingcod,Commercial,13,3C,,,"Coastal, WA ",130,0,130,130,130,Fin
WDFW,2002,Lingcod,Commercial,13,3C,,,"Coastal, WA ",25,0,25,0,0,No age structure taken
WDFW,2002,Lingcod,Commercial,14,3B,,,"Coastal, WA ",27,0,27,27,27,Fin
WDFW,2002,Lingcod,Commercial,15,3B,,,"Coastal, WA ",22,0,22,22,22,Fin
WDFW,2002,Lingcod,Commercial,16,3A,,,"Coastal, WA ",19,0,19,18,19,Fin
WDFW,2002,Lingcod,Commercial,17,3A,,,"Coastal, WA ",25,0,25,25,25,Fin
WDFW,2002,Lingcod,Commercial,30,3A,,,"U.S. Coastal, Non-WA",12,0,12,12,12,Fin
WDFW,2002,Lingcod,Commercial,,,,,"Coastal, WA and Non-WA",15,0,15,15,15,Fin
WDFW,2002,Longspine Thornyhead,Commercial,14,3B,,,"Coastal, WA ",15,0,15,0,0,No age structure taken
WDFW,2002,Longspine Thornyhead,Commercial,30,3A,,,"U.S. Coastal, Non-WA",118,0,118,0,0,No age structure taken
WDFW,2002,Pacific Cod,Commercial,13,3C,,,"Coastal, WA ",779,0,779,0,0,No age structure taken
WDFW,2002,Pacific Cod,Commercial,15,3B,,,"Coastal, WA ",100,0,100,0,0,No age structure taken
WDFW,2002,Pacific Cod,Commercial,15,3B,,,"Coastal, WA ",100,0,100,0,100,Otolith
WDFW,2002,Pacific Cod,Commercial,23,,,,"Puget Sound, WA",100,0,100,100,100,Otolith
WDFW,2002,Pacific Ocean Perch,Commercial,12,3B,,,"Coastal, WA ",3,0,3,0,0,No age structure taken
WDFW,2002,Pacific Ocean Perch,Commercial,12,3B,,,"Coastal, WA ",113,0,113,113,113,Otolith
WDFW,2002,Pacific Ocean Perch,Commercial,13,3C,,,"Coastal, WA ",14,0,14,0,0,No age structure taken
WDFW,2002,Pacific Ocean Perch,Commercial,13,3C,,,"Coastal, WA ",298,1,253,298,298,Otolith
WDFW,2002,Pacific Ocean Perch,Commercial,14,3B,,,"Coastal, WA ",7,0,7,0,0,No age structure taken
WDFW,2002,Pacific Ocean Perch,Commercial,14,3B,,,"Coastal, WA ",50,0,50,50,50,Otolith
WDFW,2002,Pacific Ocean Perch,Commercial,15,3B,,,"Coastal, WA ",25,0,25,0,0,No age structure taken
WDFW,2002,Pacific Ocean Perch,Commercial,15,3B,,,"Coastal, WA ",98,0,98,98,98,Otolith
