"name","state","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Arrowtooth flounder","C",327,30,357,0,33
"Arrowtooth flounder","O",919,1,920,0,789
"Arrowtooth flounder","W",572,1,573,36,0
"Aurora rockfish","C",712,510,1015,42,250
"Aurora rockfish","O",590,0,590,23,555
"Aurora rockfish","W",54,1,56,0,0
"Bank rockfish","C",206,249,448,0,155
"Bank rockfish","O",63,0,63,0,61
"Bank rockfish","W",11,0,11,0,0
"Big skate","C",69,1,69,0,0
"Big skate","O",269,0,269,31,46
"Big skate","W",66,0,66,0,6
"Black rockfish","C",47,519,554,14,32
"Black rockfish","O",3628,37,3665,498,891
"Black rockfish","W",4,0,4,1,0
"Blackgill rockfish","C",264,677,922,62,179
"Blackgill rockfish","O",315,0,315,0,309
"Blackgill rockfish","W",24,2,26,0,0
"Blue/Deacon rockfish","C",23,251,260,6,32
"Blue/Deacon rockfish","O",235,4,239,102,76
"Blue/Deacon rockfish","W",0,0,0,0,0
"Bocaccio","C",196,317,509,9,68
"Bocaccio","O",159,0,159,0,154
"Bocaccio","W",78,0,79,0,0
"Brown rockfish","C",6,290,196,0,22
"Brown rockfish","O",0,0,0,0,0
"Brown rockfish","W",0,0,0,0,0
"Cabezon","C",27,260,240,0,1
"Cabezon","O",340,362,701,17,9
"Cabezon","W",0,0,0,0,0
"California scorpionfish","C",0,37,37,0,0
"California scorpionfish","O",0,0,0,0,0
"California scorpionfish","W",0,0,0,0,0
"Canary rockfish","C",135,172,301,16,56
"Canary rockfish","O",963,1,964,428,462
"Canary rockfish","W",494,10,503,429,0
"Chilipepper rockfish","C",1135,659,1763,363,0
"Chilipepper rockfish","O",133,0,133,0,128
"Chilipepper rockfish","W",2,0,2,0,0
"China rockfish","C",0,83,71,0,0
"China rockfish","O",663,2,665,66,48
"China rockfish","W",0,0,0,0,0
"Copper rockfish","C",6,114,107,0,1
"Copper rockfish","O",62,0,62,17,3
"Copper rockfish","W",0,0,0,0,0
"Cowcod","C",15,27,42,0,0
"Cowcod","O",2,0,2,0,2
"Cowcod","W",0,0,0,0,0
"Curlfin sole","C",42,35,64,0,0
"Curlfin sole","O",18,0,18,0,14
"Curlfin sole","W",0,0,0,0,0
"Darkblotched rockfish","C",898,322,1145,337,301
"Darkblotched rockfish","O",1982,3,1985,1148,664
"Darkblotched rockfish","W",517,22,538,215,7
"Dover sole","C",1953,121,2073,435,403
"Dover sole","O",2684,3,2687,404,1494
"Dover sole","W",1121,21,1143,393,0
"English sole","C",948,148,1088,0,78
"English sole","O",1334,0,1334,0,654
"English sole","W",1126,15,1140,257,263
"Flag rockfish","C",1,12,13,0,1
"Flag rockfish","O",0,0,0,0,0
"Flag rockfish","W",0,0,0,0,0
"Flathead sole","C",0,0,0,0,0
"Flathead sole","O",47,0,47,0,41
"Flathead sole","W",0,0,0,0,0
"Gopher/Black and yellow rockfish","C",16,1038,901,2,3
"Gopher/Black and yellow rockfish","O",7,0,7,0,1
"Gopher/Black and yellow rockfish","W",0,0,0,0,0
"Grass rockfish","C",0,211,178,0,0
"Grass rockfish","O",31,0,31,0,0
"Grass rockfish","W",0,0,0,0,0
"Greenspotted rockfish","C",28,131,156,0,15
"Greenspotted rockfish","O",23,0,23,0,23
"Greenspotted rockfish","W",0,0,0,0,0
"Greenstriped rockfish","C",66,109,114,0,16
"Greenstriped rockfish","O",296,1,297,0,268
"Greenstriped rockfish","W",221,13,234,0,0
"Honeycomb rockfish","C",0,3,3,0,0
"Honeycomb rockfish","O",0,0,0,0,0
"Honeycomb rockfish","W",0,0,0,0,0
"Kelp greenling","C",73,23,83,0,0
"Kelp greenling","O",1717,1,1719,13,27
"Kelp greenling","W",0,0,0,0,0
"Kelp rockfish","C",0,30,29,0,0
"Kelp rockfish","O",0,0,0,0,0
"Kelp rockfish","W",0,0,0,0,0
"Lingcod","C",443,58,483,32,5
"Lingcod","O",1418,11,1428,247,72
"Lingcod","W",446,11,457,18,0
"Longnose skate","C",449,11,457,0,0
"Longnose skate","O",737,0,737,0,245
"Longnose skate","W",339,4,343,0,0
"Longspine thornyhead","C",1298,2271,3480,0,3
"Longspine thornyhead","O",1216,71,1286,0,995
"Longspine thornyhead","W",198,79,277,0,0
"Olive rockfish","C",3,13,15,0,3
"Olive rockfish","O",0,0,0,0,0
"Olive rockfish","W",0,0,0,0,0
"Pacific cod","C",1,0,1,0,0
"Pacific cod","O",183,0,183,0,173
"Pacific cod","W",718,18,736,45,0
"Pacific ocean perch","C",34,5,38,0,21
"Pacific ocean perch","O",1482,1,1482,549,792
"Pacific ocean perch","W",549,15,563,321,9
"Pacific sanddab","C",950,159,1101,0,122
"Pacific sanddab","O",605,5,610,0,562
"Pacific sanddab","W",0,0,0,0,0
"Pacific spiny dogfish","C",14,1,16,0,0
"Pacific spiny dogfish","O",136,0,136,0,22
"Pacific spiny dogfish","W",573,8,581,141,0
"Petrale sole","C",2217,387,2595,103,123
"Petrale sole","O",1899,5,1904,350,1263
"Petrale sole","W",1234,5,1239,297,435
"Quillback rockfish","C",9,46,48,0,2
"Quillback rockfish","O",133,2,135,7,51
"Quillback rockfish","W",8,0,9,2,0
"Redbanded rockfish","C",156,81,226,0,74
"Redbanded rockfish","O",539,1,540,13,510
"Redbanded rockfish","W",574,22,595,0,0
"Rex sole","C",1230,41,1270,0,55
"Rex sole","O",1041,1,1042,0,856
"Rex sole","W",59,5,63,0,0
"Rock sole","C",25,26,50,0,5
"Rock sole","O",34,0,34,0,34
"Rock sole","W",0,0,0,0,0
"Rosethorn rockfish","C",4,9,9,0,3
"Rosethorn rockfish","O",91,0,91,0,90
"Rosethorn rockfish","W",59,1,60,0,0
"Rosy rockfish","C",0,14,14,0,0
"Rosy rockfish","O",2,0,2,0,0
"Rosy rockfish","W",0,0,0,0,0
"Rougheye/Blackspotted rockfish","C",39,10,48,0,18
"Rougheye/Blackspotted rockfish","O",769,0,770,34,695
"Rougheye/Blackspotted rockfish","W",1206,69,1275,84,0
"Sablefish","C",1145,3045,4184,338,0
"Sablefish","O",3358,19,3377,600,2648
"Sablefish","W",490,2199,2688,160,45
"Sand sole","C",112,104,209,0,2
"Sand sole","O",165,2,168,0,157
"Sand sole","W",0,0,0,0,0
"Sharpchin rockfish","C",6,1,7,0,2
"Sharpchin rockfish","O",85,0,85,0,83
"Sharpchin rockfish","W",88,4,92,0,0
"Shortraker rockfish","C",2,1,3,0,1
"Shortraker rockfish","O",135,0,135,1,133
"Shortraker rockfish","W",114,6,120,0,0
"Shortspine thornyhead","C",762,2218,2866,0,0
"Shortspine thornyhead","O",1510,23,1532,0,1181
"Shortspine thornyhead","W",533,306,839,0,0
"Silvergray rockfish","C",0,0,1,0,0
"Silvergray rockfish","O",101,0,101,0,98
"Silvergray rockfish","W",52,1,52,0,0
"Speckled rockfish","C",0,16,17,0,0
"Speckled rockfish","O",0,0,0,0,0
"Speckled rockfish","W",0,0,0,0,0
"Splitnose rockfish","C",427,470,771,0,148
"Splitnose rockfish","O",524,0,524,0,512
"Splitnose rockfish","W",125,5,130,0,0
"Squarespot rockfish","C",0,5,6,0,0
"Squarespot rockfish","O",0,0,0,0,0
"Squarespot rockfish","W",0,0,0,0,0
"Starry flounder","C",58,132,187,0,3
"Starry flounder","O",138,1,139,0,132
"Starry flounder","W",0,0,0,0,0
"Starry rockfish","C",0,29,29,0,0
"Starry rockfish","O",0,0,0,0,0
"Starry rockfish","W",0,0,0,0,0
"Treefish","C",0,44,35,0,0
"Treefish","O",0,0,0,0,0
"Treefish","W",0,0,0,0,0
"Vermilion/Sunset rockfish","C",20,314,314,0,24
"Vermilion/Sunset rockfish","O",108,0,108,53,42
"Vermilion/Sunset rockfish","W",0,0,0,0,0
"Widow rockfish","C",245,92,335,63,129
"Widow rockfish","O",1220,2,1222,438,667
"Widow rockfish","W",651,117,768,394,75
"Yelloweye rockfish","C",3,6,9,0,1
"Yelloweye rockfish","O",41,0,41,21,9
"Yelloweye rockfish","W",70,26,95,78,0
"Yellowmouth rockfish","C",1,1,1,0,0
"Yellowmouth rockfish","O",104,0,104,0,103
"Yellowmouth rockfish","W",20,0,20,0,0
"Yellowtail rockfish","C",109,81,188,37,65
"Yellowtail rockfish","O",1710,6,1716,1104,288
"Yellowtail rockfish","W",1390,243,1633,1208,0
