"name","positive_sites","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Bank rockfish",23,158,1,158,0,158
"Blackgill rockfish",0,0,0,0,0,0
"Blue/Deacon rockfish",10,42,1,42,0,41
"Bocaccio",108,1026,6,1027,0,749
"Brown rockfish",1,1,0,1,0,1
"California scorpionfish",1,0,1,1,0,0
"Canary rockfish",7,19,0,19,12,7
"Chilipepper rockfish",23,130,3,132,0,119
"Copper rockfish",24,69,1,69,0,67
"Cowcod",19,41,0,41,28,12
"Flag rockfish",9,11,0,11,0,10
"Gopher/Black and yellow rockfish",0,0,0,0,0,0
"Greenspotted rockfish",59,275,2,276,53,218
"Greenstriped rockfish",21,43,0,43,0,42
"Honeycomb rockfish",6,12,0,13,0,11
"Lingcod",28,42,13,52,0,3
"Olive rockfish",12,34,0,34,0,32
"Pacific spiny dogfish",0,0,0,0,0,0
"Petrale sole",0,0,0,0,0,0
"Rock sole",0,0,0,0,0,0
"Rosethorn rockfish",0,2,0,2,0,2
"Rosy rockfish",19,47,1,48,0,44
"Sharpchin rockfish",0,1,0,1,0,1
"Silvergray rockfish",0,0,0,0,0,0
"Speckled rockfish",44,216,1,216,0,209
"Squarespot rockfish",25,92,1,92,22,67
"Starry rockfish",42,112,1,113,0,108
"Treefish",0,0,0,0,0,0
"Vermilion/Sunset rockfish",101,1431,13,1437,160,979
"Widow rockfish",16,48,1,49,0,48
"Yelloweye rockfish",3,5,0,5,0,5
"Yellowtail rockfish",13,91,9,96,8,74
