"common_name","year","length_ca","length_or","length_wa","age_ca","age_or","age_wa"
"arrowtooth_flounder","1980","0","0","0","0","0","0"
"arrowtooth_flounder","1981","0","0","0","0","0","0"
"arrowtooth_flounder","1982","0","0","0","0","0","0"
"arrowtooth_flounder","1983","0","0","0","0","0","0"
"arrowtooth_flounder","1984","0","0","0","0","0","0"
"arrowtooth_flounder","1985","0","0","0","0","0","0"
"arrowtooth_flounder","1986","0","0","950","0","0","847"
"arrowtooth_flounder","1987","0","150","1050","0","0","995"
"arrowtooth_flounder","1988","0","0","800","0","0","729"
"arrowtooth_flounder","1989","0","0","850","0","0","778"
"arrowtooth_flounder","1990","0","374","600","0","0","599"
"arrowtooth_flounder","1991","0","550","1100","0","0","550"
"arrowtooth_flounder","1992","0","650","850","0","0","0"
"arrowtooth_flounder","1993","0","0","900","0","0","0"
"arrowtooth_flounder","1994","0","0","1000","0","0","0"
"arrowtooth_flounder","1995","0","0","1098","0","0","0"
"arrowtooth_flounder","1996","0","0","900","0","0","0"
"arrowtooth_flounder","1997","0","0","900","0","0","0"
"arrowtooth_flounder","1998","0","0","1001","0","0","300"
"arrowtooth_flounder","1999","0","0","1099","0","0","0"
"arrowtooth_flounder","2000","0","0","1050","0","0","0"
"arrowtooth_flounder","2001","0","0","800","0","0","0"
"arrowtooth_flounder","2002","0","0","500","0","0","0"
"arrowtooth_flounder","2003","153","0","300","0","0","299"
"arrowtooth_flounder","2004","0","0","300","0","0","266"
"arrowtooth_flounder","2005","161","0","200","0","0","198"
"arrowtooth_flounder","2006","549","534","605","0","0","0"
"arrowtooth_flounder","2007","368","1561","1050","0","0","0"
"arrowtooth_flounder","2008","321","1489","900","0","0","0"
"arrowtooth_flounder","2009","304","1420","1365","0","0","0"
"arrowtooth_flounder","2010","337","2232","833","0","0","0"
"arrowtooth_flounder","2011","750","1893","899","0","0","0"
"arrowtooth_flounder","2012","982","1219","1100","0","0","0"
"arrowtooth_flounder","2013","862","1029","500","0","0","0"
"arrowtooth_flounder","2014","581","1260","600","0","0","0"
"arrowtooth_flounder","2015","636","1257","600","0","0","0"
"arrowtooth_flounder","2016","702","1384","202","0","0","0"
"arrowtooth_flounder","2017","389","1307","250","0","0","0"
"arrowtooth_flounder","2018","126","1231","703","0","0","0"
"arrowtooth_flounder","2019","162","1066","259","0","0","0"
"arrowtooth_flounder","2020","124","438","76","0","0","0"
"aurora_rockfish","1980","35","0","0","0","0","0"
"aurora_rockfish","1981","83","0","0","0","0","0"
"aurora_rockfish","1982","94","0","0","0","0","0"
"aurora_rockfish","1983","542","0","0","0","0","0"
"aurora_rockfish","1984","415","0","0","0","0","0"
"aurora_rockfish","1985","798","0","0","0","0","0"
"aurora_rockfish","1986","575","0","0","0","0","0"
"aurora_rockfish","1987","179","0","0","0","0","0"
"aurora_rockfish","1988","218","0","0","0","0","0"
"aurora_rockfish","1989","265","0","0","0","0","0"
"aurora_rockfish","1990","486","0","0","0","0","0"
"aurora_rockfish","1991","116","0","0","0","0","0"
"aurora_rockfish","1992","369","0","0","0","0","0"
"aurora_rockfish","1993","244","0","0","0","0","0"
"aurora_rockfish","1994","421","0","0","0","0","0"
"aurora_rockfish","1995","489","0","0","0","0","0"
"aurora_rockfish","1996","771","0","10","0","0","0"
"aurora_rockfish","1997","554","0","18","0","0","0"
"aurora_rockfish","1998","296","0","16","0","0","0"
"aurora_rockfish","1999","310","0","10","0","0","0"
"aurora_rockfish","2000","285","0","13","0","0","0"
"aurora_rockfish","2001","489","154","12","0","0","0"
"aurora_rockfish","2002","1352","0","11","0","0","0"
"aurora_rockfish","2003","2075","90","83","497","85","0"
"aurora_rockfish","2004","482","260","118","0","0","0"
"aurora_rockfish","2005","960","176","51","0","0","0"
"aurora_rockfish","2006","1330","316","30","0","0","0"
"aurora_rockfish","2007","930","765","15","0","0","0"
"aurora_rockfish","2008","1645","621","18","229","196","0"
"aurora_rockfish","2009","1355","754","40","155","199","0"
"aurora_rockfish","2010","942","593","16","0","0","0"
"aurora_rockfish","2011","2145","1282","134","0","0","0"
"aurora_rockfish","2012","1459","1266","186","0","0","0"
"aurora_rockfish","2013","734","1154","24","0","0","0"
"aurora_rockfish","2014","533","1251","78","0","0","0"
"aurora_rockfish","2015","879","834","106","0","0","0"
"aurora_rockfish","2016","1276","783","32","0","0","0"
"aurora_rockfish","2017","1495","853","53","0","0","0"
"aurora_rockfish","2018","603","756","102","0","0","0"
"aurora_rockfish","2019","437","390","57","0","0","0"
"aurora_rockfish","2020","200","97","1","0","0","0"
"bank_rockfish","1980","28","0","0","23","0","0"
"bank_rockfish","1981","370","0","0","235","0","0"
"bank_rockfish","1982","573","0","0","513","0","0"
"bank_rockfish","1983","1283","0","0","0","0","0"
"bank_rockfish","1984","3315","0","0","249","0","0"
"bank_rockfish","1985","5808","0","0","93","0","0"
"bank_rockfish","1986","6294","0","0","457","0","0"
"bank_rockfish","1987","3628","0","0","219","0","0"
"bank_rockfish","1988","2024","0","0","486","0","0"
"bank_rockfish","1989","1548","0","0","379","0","0"
"bank_rockfish","1990","1674","0","0","399","0","0"
"bank_rockfish","1991","1804","0","0","405","0","0"
"bank_rockfish","1992","1367","0","0","6","0","0"
