"name","state","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Arrowtooth flounder","C",0,1,1,0,0
"Arrowtooth flounder","O",0,6,6,0,0
"Arrowtooth flounder","W",1,1,1,0,1
"Bank rockfish","C",0,32,32,0,0
"Bank rockfish","O",0,0,0,0,0
"Bank rockfish","W",0,0,0,0,0
"Big skate","C",0,1,1,0,0
"Big skate","O",0,1,1,0,0
"Big skate","W",0,0,0,0,0
"Black rockfish","C",1,6882,6883,0,24
"Black rockfish","O",1435,8950,10384,909,532
"Black rockfish","W",1823,764,2587,1580,193
"Blackgill rockfish","C",0,0,0,0,0
"Blackgill rockfish","O",0,0,0,0,0
"Blackgill rockfish","W",0,0,0,0,0
"Blue/Deacon rockfish","C",1,7685,7685,0,23
"Blue/Deacon rockfish","O",736,3405,4141,208,530
"Blue/Deacon rockfish","W",254,111,365,0,217
"Bocaccio","C",1,2310,2311,0,5
"Bocaccio","O",0,21,21,0,0
"Bocaccio","W",13,7,20,0,13
"Brown rockfish","C",1,3804,3804,0,1
"Brown rockfish","O",2,14,16,1,1
"Brown rockfish","W",2,1,3,0,2
"Cabezon","C",282,501,783,0,0
"Cabezon","O",173,1110,1283,123,43
"Cabezon","W",118,94,212,0,103
"California scorpionfish","C",0,2981,2981,0,0
"California scorpionfish","O",0,0,0,0,0
"California scorpionfish","W",0,0,0,0,0
"Canary rockfish","C",0,835,835,0,9
"Canary rockfish","O",186,1054,1240,0,188
"Canary rockfish","W",233,57,290,83,139
"Chilipepper rockfish","C",0,355,356,0,0
"Chilipepper rockfish","O",0,1,1,0,0
"Chilipepper rockfish","W",0,0,0,0,0
"China rockfish","C",0,848,848,0,1
"China rockfish","O",113,517,630,55,65
"China rockfish","W",140,82,221,63,69
"Copper rockfish","C",1,3127,3127,0,2
"Copper rockfish","O",126,550,676,121,5
"Copper rockfish","W",113,58,170,88,15
"Cowcod","C",0,9,10,0,0
"Cowcod","O",0,0,0,0,0
"Cowcod","W",0,0,0,0,0
"Curlfin sole","C",0,0,0,0,0
"Curlfin sole","O",0,0,0,0,0
"Curlfin sole","W",0,0,0,0,0
"Darkblotched rockfish","C",0,0,0,0,0
"Darkblotched rockfish","O",0,0,0,0,0
"Darkblotched rockfish","W",0,0,0,0,0
"Dover sole","C",0,0,0,0,0
"Dover sole","O",0,1,1,0,0
"Dover sole","W",0,0,0,0,0
"English sole","C",0,1,1,0,0
"English sole","O",0,1,1,0,0
"English sole","W",0,0,0,0,0
"Flag rockfish","C",1,579,580,0,0
"Flag rockfish","O",0,0,0,0,0
"Flag rockfish","W",0,0,0,0,0
"Flathead sole","C",0,0,0,0,0
"Flathead sole","O",0,0,0,0,0
"Flathead sole","W",0,0,0,0,0
"Gopher/Black and yellow rockfish","C",1,4773,4774,0,1
"Gopher/Black and yellow rockfish","O",1,6,7,0,1
"Gopher/Black and yellow rockfish","W",0,0,0,0,0
"Grass rockfish","C",0,267,267,0,0
"Grass rockfish","O",0,6,6,0,0
"Grass rockfish","W",1,0,1,0,0
"Greenspotted rockfish","C",1,927,928,0,0
"Greenspotted rockfish","O",0,1,1,0,0
