"species_name","sample_year","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"ARROWTOOTH FLOUNDER",2011,0,1,1,0,0
"ARROWTOOTH FLOUNDER",2012,0,1,1,0,0
"ARROWTOOTH FLOUNDER",2013,0,2,2,0,0
"ARROWTOOTH FLOUNDER",2014,0,4,4,0,0
"ARROWTOOTH FLOUNDER",2016,0,4,4,0,0
"ARROWTOOTH FLOUNDER",2017,0,1,1,0,0
"ARROWTOOTH FLOUNDER",2018,0,4,4,0,0
"BANK ROCKFISH",2003,0,1,1,0,0
"BANK ROCKFISH",2004,0,50,50,0,0
"BANK ROCKFISH",2005,0,38,38,0,0
"BANK ROCKFISH",2006,0,3,3,0,0
"BANK ROCKFISH",2007,0,19,19,0,0
"BANK ROCKFISH",2008,0,13,13,0,0
"BANK ROCKFISH",2009,0,11,11,0,0
"BANK ROCKFISH",2010,0,10,10,0,0
"BANK ROCKFISH",2011,0,51,51,0,0
"BANK ROCKFISH",2012,0,19,19,0,0
"BANK ROCKFISH",2013,0,27,27,0,0
"BANK ROCKFISH",2014,0,30,30,0,0
"BANK ROCKFISH",2015,0,193,193,0,0
"BANK ROCKFISH",2016,0,95,95,0,0
"BANK ROCKFISH",2017,0,19,19,0,0
"BANK ROCKFISH",2018,0,6,6,0,0
"BANK ROCKFISH",2019,0,16,16,0,0
"BIG SKATE",2004,0,2,2,0,0
"BIG SKATE",2005,0,5,5,0,0
"BIG SKATE",2006,0,1,1,0,0
"BIG SKATE",2007,1,1,2,0,0
"BIG SKATE",2008,1,1,2,0,0
"BIG SKATE",2009,0,2,2,0,0
"BIG SKATE",2010,2,0,2,0,0
"BIG SKATE",2011,1,1,2,0,0
"BIG SKATE",2012,0,2,2,0,0
"BIG SKATE",2013,2,3,5,0,0
"BIG SKATE",2017,1,2,3,0,0
"BLACK ROCKFISH",2003,0,37,37,0,0
"BLACK ROCKFISH",2004,0,3402,3402,0,0
"BLACK ROCKFISH",2005,0,5449,5449,0,0
"BLACK ROCKFISH",2006,0,5366,5366,0,0
"BLACK ROCKFISH",2007,0,6950,6950,0,0
"BLACK ROCKFISH",2008,0,8416,8416,0,0
"BLACK ROCKFISH",2009,2,11549,11551,0,0
"BLACK ROCKFISH",2010,0,5859,5859,0,0
"BLACK ROCKFISH",2011,0,8124,8124,0,0
"BLACK ROCKFISH",2012,1,9914,9915,0,0
"BLACK ROCKFISH",2013,20,17724,17743,0,0
"BLACK ROCKFISH",2014,0,12088,12088,0,0
"BLACK ROCKFISH",2015,1,11818,11818,0,0
"BLACK ROCKFISH",2016,0,9077,9077,0,0
"BLACK ROCKFISH",2017,0,5883,5883,0,0
"BLACK ROCKFISH",2018,1,5422,5423,0,212
"BLACK ROCKFISH",2019,1,3668,3669,0,250
"BLACK ROCKFISH",2020,0,12,12,0,0
