"species_name","sample_year","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"ARROWTOOTH FLOUNDER",2001,0,3,3,0,0
"ARROWTOOTH FLOUNDER",2002,0,7,7,0,0
"ARROWTOOTH FLOUNDER",2003,0,14,14,0,0
"ARROWTOOTH FLOUNDER",2004,0,14,14,0,0
"ARROWTOOTH FLOUNDER",2005,0,3,3,0,0
"ARROWTOOTH FLOUNDER",2006,0,13,13,0,0
"ARROWTOOTH FLOUNDER",2007,0,10,10,0,0
"ARROWTOOTH FLOUNDER",2008,0,8,8,0,0
"ARROWTOOTH FLOUNDER",2009,0,5,5,0,0
"ARROWTOOTH FLOUNDER",2010,0,1,1,0,0
"ARROWTOOTH FLOUNDER",2011,0,2,2,0,0
"ARROWTOOTH FLOUNDER",2012,0,1,1,0,0
"ARROWTOOTH FLOUNDER",2013,0,5,5,0,0
"ARROWTOOTH FLOUNDER",2014,0,4,4,0,0
"ARROWTOOTH FLOUNDER",2015,0,2,2,0,0
"ARROWTOOTH FLOUNDER",2016,0,8,8,0,0
"ARROWTOOTH FLOUNDER",2017,0,8,8,0,0
"ARROWTOOTH FLOUNDER",2018,0,6,6,0,0
"ARROWTOOTH FLOUNDER",2019,0,8,8,0,0
"BIG SKATE",2004,0,3,3,0,0
"BIG SKATE",2005,0,2,2,0,0
"BIG SKATE",2009,0,2,2,0,0
"BIG SKATE",2011,0,1,1,0,0
"BIG SKATE",2013,0,1,1,0,0
"BIG SKATE",2014,0,2,2,0,0
"BIG SKATE",2017,0,1,1,0,0
"BIG SKATE",2019,0,1,1,0,0
"BLACK ROCKFISH",1999,3608,158,3766,0,0
"BLACK ROCKFISH",2000,4833,23,4856,0,0
"BLACK ROCKFISH",2001,3101,5671,8772,3086,71
"BLACK ROCKFISH",2002,3757,3712,7469,3463,294
"BLACK ROCKFISH",2003,3461,3637,7098,2230,1214
"BLACK ROCKFISH",2004,3261,2754,6015,2287,1020
"BLACK ROCKFISH",2005,3125,3954,7079,1787,1331
"BLACK ROCKFISH",2006,2173,7295,9468,2247,0
"BLACK ROCKFISH",2007,2052,10741,12793,1988,40
"BLACK ROCKFISH",2008,1,11764,11765,0,0
"BLACK ROCKFISH",2009,1093,11344,12437,969,113
"BLACK ROCKFISH",2010,1161,11901,13062,1177,0
"BLACK ROCKFISH",2011,1107,11750,12857,861,263
"BLACK ROCKFISH",2012,1067,12394,13461,543,544
"BLACK ROCKFISH",2013,1038,12652,13690,526,520
"BLACK ROCKFISH",2014,1083,11708,12791,549,543
"BLACK ROCKFISH",2015,1078,12784,13862,1074,0
"BLACK ROCKFISH",2016,1098,10596,11694,530,554
"BLACK ROCKFISH",2017,991,10233,11224,494,485
"BLACK ROCKFISH",2018,1203,11825,13028,0,1203
"BLACK ROCKFISH",2019,1154,11727,12881,0,1159
"BLACK ROCKFISH",2020,1110,989,2099,0,1118
"BLUE ROCKFISH",2008,66,0,66,65,0
"BLUE ROCKFISH",2009,78,0,78,77,0
"BLUE ROCKFISH",2010,64,1,65,65,0
"BLUE ROCKFISH",2011,58,4,62,62,0
"BLUE ROCKFISH",2012,116,5,121,119,0
"BLUE ROCKFISH",2013,88,3,91,91,0
"BLUE ROCKFISH",2014,132,0,132,132,0
"BLUE ROCKFISH",2015,124,2,126,125,0
"BLUE ROCKFISH",2016,98,1136,1234,0,98
"BLUE ROCKFISH",2017,53,816,869,0,53
"BLUE ROCKFISH",2018,77,607,684,0,77
"BLUE ROCKFISH",2019,146,969,1115,0,149
"BLUE ROCKFISH",2020,67,86,153,0,70
"DEACON/BLUE ROCKFISH UNKNOWN",1999,711,15,726,0,0
"DEACON/BLUE ROCKFISH UNKNOWN",2000,566,0,566,0,0
"DEACON/BLUE ROCKFISH UNKNOWN",2001,1359,2849,4208,0,1393
"DEACON/BLUE ROCKFISH UNKNOWN",2002,737,1944,2681,0,739
"DEACON/BLUE ROCKFISH UNKNOWN",2003,784,2547,3331,0,785
"DEACON/BLUE ROCKFISH UNKNOWN",2004,501,1769,2270,146,352
"DEACON/BLUE ROCKFISH UNKNOWN",2005,478,3061,3539,0,477
"DEACON/BLUE ROCKFISH UNKNOWN",2006,898,3475,4373,0,899
"DEACON/BLUE ROCKFISH UNKNOWN",2007,863,4170,5033,0,863
"DEACON/BLUE ROCKFISH UNKNOWN",2008,34,4804,4838,0,34
"DEACON/BLUE ROCKFISH UNKNOWN",2009,30,4351,4381,0,29
"DEACON/BLUE ROCKFISH UNKNOWN",2010,43,5302,5345,0,47
"DEACON/BLUE ROCKFISH UNKNOWN",2011,6,4498,4504,0,7
"DEACON/BLUE ROCKFISH UNKNOWN",2012,9,4980,4989,0,10
"DEACON/BLUE ROCKFISH UNKNOWN",2013,3,3973,3976,0,3
"DEACON/BLUE ROCKFISH UNKNOWN",2014,2,3266,3268,0,2
"DEACON/BLUE ROCKFISH UNKNOWN",2015,0,4057,4057,0,0
"DEACON/BLUE ROCKFISH UNKNOWN",2016,0,168,168,0,0
"BOCACCIO",2001,0,47,47,0,0
"BOCACCIO",2002,0,157,157,0,0
"BOCACCIO",2003,0,64,64,0,0
"BOCACCIO",2004,0,20,20,0,0
"BOCACCIO",2005,0,14,14,0,0
"BOCACCIO",2006,0,11,11,0,0
"BOCACCIO",2007,0,16,16,0,0
"BOCACCIO",2008,0,7,7,0,0
"BOCACCIO",2009,0,11,11,0,0
"BOCACCIO",2011,0,8,8,0,0
"BOCACCIO",2012,0,14,14,0,0
"BOCACCIO",2013,0,7,7,0,0
"BOCACCIO",2014,0,8,8,0,0
"BOCACCIO",2015,0,1,1,0,0
"BOCACCIO",2016,0,2,2,0,0
"BOCACCIO",2017,0,5,5,0,0
"BOCACCIO",2018,0,130,130,0,0
"BOCACCIO",2019,0,75,75,0,0
"BOCACCIO",2020,0,2,2,0,0
"BROWN ROCKFISH",2001,0,11,11,0,0
"BROWN ROCKFISH",2002,0,7,7,0,0
"BROWN ROCKFISH",2003,0,10,10,0,0
"BROWN ROCKFISH",2004,0,2,2,0,0
"BROWN ROCKFISH",2005,2,11,13,2,0
"BROWN ROCKFISH",2006,0,21,21,0,0
"BROWN ROCKFISH",2007,0,9,9,0,0
"BROWN ROCKFISH",2008,4,18,22,4,0
"BROWN ROCKFISH",2009,1,20,21,1,0
"BROWN ROCKFISH",2010,1,44,45,1,0
"BROWN ROCKFISH",2011,1,34,35,1,0
"BROWN ROCKFISH",2012,1,5,6,1,0
"BROWN ROCKFISH",2013,3,9,12,3,0
"BROWN ROCKFISH",2014,0,7,7,0,0
"BROWN ROCKFISH",2015,0,10,10,0,0
"BROWN ROCKFISH",2016,0,7,7,0,0
"BROWN ROCKFISH",2017,1,13,14,0,1
"BROWN ROCKFISH",2018,0,11,11,0,0
"BROWN ROCKFISH",2019,3,35,38,0,3
"BROWN ROCKFISH",2020,21,6,27,0,21
"CABEZON",2001,0,520,520,0,0
"CABEZON",2002,0,1260,1260,0,0
"CABEZON",2003,0,1199,1199,0,0
"CABEZON",2004,0,1019,1019,0,0
"CABEZON",2005,73,1480,1553,68,0
"CABEZON",2006,337,1598,1935,313,1
"CABEZON",2007,229,1512,1741,177,0
"CABEZON",2008,383,1902,2285,327,0
"CABEZON",2009,431,1967,2398,423,0
"CABEZON",2010,349,1672,2021,6,345
"CABEZON",2011,332,1403,1735,329,0
"CABEZON",2012,278,1280,1558,5,273
"CABEZON",2013,152,916,1068,148,0
"CABEZON",2014,73,640,713,71,0
"CABEZON",2015,92,691,783,92,0
"CABEZON",2016,119,880,999,118,0
"CABEZON",2017,137,1165,1302,136,0
"CABEZON",2018,117,894,1011,115,0
"CABEZON",2019,115,866,981,0,115
"CABEZON",2020,78,4,82,0,78
"CANARY ROCKFISH",1999,393,0,393,0,0
"CANARY ROCKFISH",2000,367,0,367,0,0
"CANARY ROCKFISH",2001,18,1005,1023,0,18
"CANARY ROCKFISH",2002,0,1540,1540,0,0
"CANARY ROCKFISH",2003,0,1885,1885,0,0
"CANARY ROCKFISH",2004,0,139,139,0,0
"CANARY ROCKFISH",2005,0,207,207,0,0
"CANARY ROCKFISH",2006,1,216,217,0,0
"CANARY ROCKFISH",2007,1,138,139,0,0
"CANARY ROCKFISH",2008,0,206,206,0,0
"CANARY ROCKFISH",2009,1,218,219,0,0
"CANARY ROCKFISH",2010,0,194,194,0,0
"CANARY ROCKFISH",2011,0,137,137,0,0
"CANARY ROCKFISH",2012,1,213,214,0,0
"CANARY ROCKFISH",2013,0,202,202,0,0
"CANARY ROCKFISH",2014,0,244,244,0,0
"CANARY ROCKFISH",2015,615,2291,2906,0,618
"CANARY ROCKFISH",2016,500,1875,2375,0,506
"CANARY ROCKFISH",2017,699,3423,4122,0,703
"CANARY ROCKFISH",2018,559,4114,4673,0,559
"CANARY ROCKFISH",2019,584,3958,4542,0,592
"CANARY ROCKFISH",2020,575,359,934,0,587
"CHILIPEPPER",2001,0,8,8,0,0
"CHILIPEPPER",2002,0,3,3,0,0
"CHILIPEPPER",2003,0,2,2,0,0
"CHILIPEPPER",2004,0,1,1,0,0
"CHILIPEPPER",2007,0,2,2,0,0
"CHILIPEPPER",2008,0,2,2,0,0
"CHILIPEPPER",2009,0,2,2,0,0
"CHILIPEPPER",2012,0,1,1,0,0
"CHILIPEPPER",2013,0,3,3,0,0
"CHILIPEPPER",2018,0,6,6,0,0
"CHINA ROCKFISH",2001,0,373,373,0,0
"CHINA ROCKFISH",2002,0,644,644,0,0
"CHINA ROCKFISH",2003,0,685,685,0,0
"CHINA ROCKFISH",2004,0,398,398,0,0
"CHINA ROCKFISH",2005,56,621,677,110,0
"CHINA ROCKFISH",2006,190,719,909,248,0
"CHINA ROCKFISH",2007,264,901,1165,60,204
"CHINA ROCKFISH",2008,266,913,1179,60,209
"CHINA ROCKFISH",2009,180,658,838,62,121
"CHINA ROCKFISH",2010,173,744,917,60,115
"CHINA ROCKFISH",2011,232,892,1124,236,1
"CHINA ROCKFISH",2012,208,848,1056,60,148
"CHINA ROCKFISH",2013,147,792,939,146,1
"CHINA ROCKFISH",2014,73,322,395,0,73
"CHINA ROCKFISH",2015,0,28,28,0,0
"CHINA ROCKFISH",2016,0,13,13,0,0
"CHINA ROCKFISH",2017,67,320,387,0,68
"CHINA ROCKFISH",2018,107,476,583,0,108
"CHINA ROCKFISH",2019,131,454,585,0,132
"CHINA ROCKFISH",2020,46,39,85,0,46
"COPPER ROCKFISH",2001,0,196,196,0,0
"COPPER ROCKFISH",2002,0,641,641,0,0
"COPPER ROCKFISH",2003,0,518,518,0,0
"COPPER ROCKFISH",2004,0,325,325,0,0
"COPPER ROCKFISH",2005,59,696,755,58,0
"COPPER ROCKFISH",2006,149,764,913,150,0
"COPPER ROCKFISH",2007,189,799,988,188,0
"COPPER ROCKFISH",2008,217,836,1053,217,0
"COPPER ROCKFISH",2009,156,569,725,156,0
"COPPER ROCKFISH",2010,274,790,1064,273,0
"COPPER ROCKFISH",2011,233,867,1100,235,0
"COPPER ROCKFISH",2012,216,944,1160,216,0
"COPPER ROCKFISH",2013,158,570,728,158,0
"COPPER ROCKFISH",2014,121,338,459,121,0
"COPPER ROCKFISH",2015,0,32,32,0,0
"COPPER ROCKFISH",2016,0,28,28,0,0
"COPPER ROCKFISH",2017,176,566,742,177,0
"COPPER ROCKFISH",2018,175,983,1158,175,0
"COPPER ROCKFISH",2019,173,792,965,174,0
"COPPER ROCKFISH",2020,89,34,123,0,89
"CURLFIN SOLE",2004,0,1,1,0,0
"DARKBLOTCHED ROCKFISH",2002,0,1,1,0,0
"DARKBLOTCHED ROCKFISH",2017,0,1,1,0,0
"DOVER SOLE",2003,0,3,3,0,0
"DOVER SOLE",2005,0,4,4,0,0
"DOVER SOLE",2007,0,1,1,0,0
"DOVER SOLE",2010,0,4,4,0,0
"DOVER SOLE",2011,0,6,6,0,0
"DOVER SOLE",2012,0,1,1,0,0
"DOVER SOLE",2013,0,1,1,0,0
"DOVER SOLE",2015,0,1,1,0,0
"ENGLISH SOLE",2002,0,1,1,0,0
"ENGLISH SOLE",2003,0,3,3,0,0
"ENGLISH SOLE",2005,0,2,2,0,0
"ENGLISH SOLE",2006,0,4,4,0,0
"ENGLISH SOLE",2011,0,3,3,0,0
"ENGLISH SOLE",2012,0,2,2,0,0
"ENGLISH SOLE",2014,0,3,3,0,0
"ENGLISH SOLE",2018,0,2,2,0,0
"ENGLISH SOLE",2019,0,2,2,0,0
"FLAG ROCKFISH",2005,0,1,1,0,0
"FLAG ROCKFISH",2010,0,3,3,0,0
"FLAG ROCKFISH",2013,0,1,1,0,0
"FLAG ROCKFISH",2019,0,3,3,0,0
"FLATHEAD SOLE",2011,0,1,1,0,0
"GOPHER ROCKFISH",2002,0,1,1,0,0
"GOPHER ROCKFISH",2003,0,13,13,0,0
"GOPHER ROCKFISH",2004,0,3,3,0,0
"GOPHER ROCKFISH",2005,0,6,6,0,0
"GOPHER ROCKFISH",2006,0,4,4,0,0
"GOPHER ROCKFISH",2007,0,3,3,0,0
"GOPHER ROCKFISH",2008,2,1,3,0,2
"GOPHER ROCKFISH",2009,0,6,6,0,0
"GOPHER ROCKFISH",2010,1,4,5,0,1
"GOPHER ROCKFISH",2011,1,6,7,0,1
"GOPHER ROCKFISH",2012,0,4,4,0,0
"GOPHER ROCKFISH",2013,1,16,17,0,1
"GOPHER ROCKFISH",2014,2,4,6,0,2
"GOPHER ROCKFISH",2016,0,1,1,0,0
"GOPHER ROCKFISH",2017,0,1,1,0,0
"GOPHER ROCKFISH",2018,2,6,8,0,2
"GOPHER ROCKFISH",2019,0,8,8,0,0
"GOPHER ROCKFISH",2020,0,2,2,0,0
"GRASS ROCKFISH",2001,0,6,6,0,0
"GRASS ROCKFISH",2002,0,2,2,0,0
"GRASS ROCKFISH",2003,0,5,5,0,0
"GRASS ROCKFISH",2004,0,3,3,0,0
"GRASS ROCKFISH",2005,1,10,11,0,1
"GRASS ROCKFISH",2006,0,3,3,0,0
"GRASS ROCKFISH",2007,0,2,2,0,0
"GRASS ROCKFISH",2008,1,3,4,0,1
"GRASS ROCKFISH",2009,0,9,9,0,0
"GRASS ROCKFISH",2010,0,13,13,0,0
"GRASS ROCKFISH",2011,0,7,7,0,0
"GRASS ROCKFISH",2012,0,4,4,0,0
"GRASS ROCKFISH",2013,2,3,5,0,2
"GRASS ROCKFISH",2014,3,6,9,0,3
"GRASS ROCKFISH",2015,0,1,1,0,0
"GRASS ROCKFISH",2016,0,5,5,0,0
"GRASS ROCKFISH",2017,0,7,7,0,0
"GRASS ROCKFISH",2018,0,6,6,0,0
"GRASS ROCKFISH",2019,0,22,22,0,0
"GRASS ROCKFISH",2020,0,2,2,0,0
"GREENSPOTTED ROCKFISH",2004,0,10,10,0,0
"GREENSPOTTED ROCKFISH",2019,0,10,10,0,0
"GREENSTRIPED ROCKFISH",2001,0,79,79,0,0
"GREENSTRIPED ROCKFISH",2002,0,109,109,0,0
"GREENSTRIPED ROCKFISH",2003,0,141,141,0,0
"GREENSTRIPED ROCKFISH",2004,0,45,45,0,0
"GREENSTRIPED ROCKFISH",2005,0,24,24,0,0
"GREENSTRIPED ROCKFISH",2006,0,22,22,0,0
"GREENSTRIPED ROCKFISH",2007,0,2,2,0,0
"GREENSTRIPED ROCKFISH",2008,0,3,3,0,0
"GREENSTRIPED ROCKFISH",2009,0,3,3,0,0
"GREENSTRIPED ROCKFISH",2011,0,8,8,0,0
"GREENSTRIPED ROCKFISH",2012,0,3,3,0,0
"GREENSTRIPED ROCKFISH",2013,0,10,10,0,0
"GREENSTRIPED ROCKFISH",2015,0,1,1,0,0
"GREENSTRIPED ROCKFISH",2016,0,3,3,0,0
"GREENSTRIPED ROCKFISH",2017,0,12,12,0,0
"GREENSTRIPED ROCKFISH",2018,0,14,14,0,0
"GREENSTRIPED ROCKFISH",2019,0,40,40,0,0
"GREENSTRIPED ROCKFISH",2020,0,3,3,0,0
"KELP GREENLING",2001,0,515,515,0,0
"KELP GREENLING",2002,0,1280,1280,0,0
"KELP GREENLING",2003,2,1369,1371,0,0
"KELP GREENLING",2004,2,1092,1094,0,0
"KELP GREENLING",2005,153,1560,1713,294,0
"KELP GREENLING",2006,381,1355,1736,467,0
"KELP GREENLING",2007,338,1314,1652,334,0
"KELP GREENLING",2008,480,1835,2315,470,0
"KELP GREENLING",2009,520,1825,2345,257,259
"KELP GREENLING",2010,559,2583,3142,271,273
"KELP GREENLING",2011,703,2499,3202,289,405
"KELP GREENLING",2012,663,2431,3094,220,441
"KELP GREENLING",2013,560,2308,2868,184,367
"KELP GREENLING",2014,270,1050,1320,0,269
"KELP GREENLING",2015,171,961,1132,0,170
"KELP GREENLING",2016,164,783,947,0,164
"KELP GREENLING",2017,125,708,833,0,123
"KELP GREENLING",2018,131,865,996,0,122
"KELP GREENLING",2019,187,848,1035,0,183
"KELP GREENLING",2020,153,66,219,0,153
"LINGCOD",1999,1649,73,1722,0,0
"LINGCOD",2000,2246,15,2261,0,0
"LINGCOD",2001,1948,1465,3413,791,1163
"LINGCOD",2002,860,2933,3793,858,3
"LINGCOD",2003,891,3886,4777,807,12
"LINGCOD",2004,942,2238,3180,653,45
"LINGCOD",2005,775,3285,4060,541,22
"LINGCOD",2006,1392,4812,6204,799,371
"LINGCOD",2007,1149,5477,6626,788,250
"LINGCOD",2008,1180,5641,6821,740,294
"LINGCOD",2009,1138,4970,6108,258,771
"LINGCOD",2010,1153,5879,7032,260,759
"LINGCOD",2011,1217,6641,7858,258,799
"LINGCOD",2012,1216,8139,9355,260,786
"LINGCOD",2013,1157,8136,9293,258,774
"LINGCOD",2014,1090,6456,7546,259,754
"LINGCOD",2015,1129,7064,8193,259,769
"LINGCOD",2016,1087,5430,6517,260,730
"LINGCOD",2017,1010,5632,6642,260,691
"LINGCOD",2018,1162,7530,8692,258,814
"LINGCOD",2019,1081,6645,7726,258,737
"LINGCOD",2020,858,726,1584,0,856
"LONGNOSE SKATE",2004,0,3,3,0,0
"LONGNOSE SKATE",2005,0,1,1,0,0
"LONGNOSE SKATE",2007,0,2,2,0,0
"LONGNOSE SKATE",2009,0,1,1,0,0
"LONGNOSE SKATE",2010,0,1,1,0,0
"LONGNOSE SKATE",2011,0,2,2,0,0
"LONGNOSE SKATE",2012,0,1,1,0,0
"LONGNOSE SKATE",2013,0,1,1,0,0
"LONGNOSE SKATE",2016,0,2,2,0,0
"LONGNOSE SKATE",2019,0,6,6,0,0
"OLIVE ROCKFISH",2008,0,1,1,0,0
"OLIVE ROCKFISH",2009,0,2,2,0,0
"OLIVE ROCKFISH",2010,0,3,3,0,0
"OLIVE ROCKFISH",2011,0,2,2,0,0
"OLIVE ROCKFISH",2012,0,2,2,0,0
"OLIVE ROCKFISH",2013,0,9,9,0,0
"OLIVE ROCKFISH",2014,0,2,2,0,0
"OLIVE ROCKFISH",2015,0,6,6,0,0
"OLIVE ROCKFISH",2016,0,9,9,0,0
"OLIVE ROCKFISH",2017,0,1,1,0,0
"PACIFIC COD",2002,0,7,7,0,0
"PACIFIC COD",2003,0,20,20,0,0
"PACIFIC COD",2004,0,1,1,0,0
"PACIFIC COD",2009,0,2,2,0,0
"PACIFIC COD",2011,0,1,1,0,0
"PACIFIC COD",2012,0,20,20,0,0
"PACIFIC COD",2017,0,3,3,0,0
"PACIFIC COD",2019,0,2,2,0,0
"PACIFIC OCEAN PERCH",2002,0,2,2,0,0
"PACIFIC OCEAN PERCH",2013,0,1,1,0,0
"PACIFIC SANDDAB",2001,0,18,18,0,0
"PACIFIC SANDDAB",2002,0,18,18,0,0
"PACIFIC SANDDAB",2003,0,56,56,0,0
"PACIFIC SANDDAB",2004,0,339,339,0,0
"PACIFIC SANDDAB",2005,0,82,82,0,0
"PACIFIC SANDDAB",2006,0,29,29,0,0
"PACIFIC SANDDAB",2007,0,7,7,0,0
"PACIFIC SANDDAB",2008,0,46,46,0,0
"PACIFIC SANDDAB",2009,0,13,13,0,0
"PACIFIC SANDDAB",2010,0,85,85,0,0
"PACIFIC SANDDAB",2011,0,49,49,0,0
"PACIFIC SANDDAB",2012,0,151,151,0,0
"PACIFIC SANDDAB",2013,0,69,69,0,0
