"species_name","sample_year","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Arrowtooth Flounder",2006,0,2,2,0,0
"Arrowtooth Flounder",2008,0,4,4,0,0
"Arrowtooth Flounder",2012,0,1,1,0,0
"Arrowtooth Flounder",2015,0,2,2,0,0
"Arrowtooth Flounder",2017,0,1,1,0,0
"Arrowtooth Flounder",2018,2,1,3,0,2
"Arrowtooth Flounder",2020,6,0,6,0,6
"Arrowtooth Flounder",2021,4,0,4,0,4
"Black Rockfish",2002,1850,779,2629,1894,5
"Black Rockfish",2003,1853,470,2323,1841,12
"Black Rockfish",2004,1657,343,2000,1645,12
"Black Rockfish",2005,1664,563,2227,1653,11
"Black Rockfish",2006,1608,1244,2852,1484,16
"Black Rockfish",2007,2311,612,2923,2300,13
"Black Rockfish",2008,1987,505,2492,1920,69
"Black Rockfish",2009,1696,1034,2730,1671,16
"Black Rockfish",2010,1598,982,2580,1586,12
"Black Rockfish",2011,1181,1302,2483,1171,10
"Black Rockfish",2012,1263,1122,2385,1038,52
"Black Rockfish",2013,1767,1090,2857,1762,5
"Black Rockfish",2014,1608,678,2286,1564,25
"Black Rockfish",2015,2666,484,3150,2152,7
"Black Rockfish",2016,1732,439,2171,1713,20
"Black Rockfish",2017,2299,1047,3346,2254,9
"Black Rockfish",2018,1827,966,2793,1761,59
"Black Rockfish",2019,2552,1321,3873,2514,15
"Black Rockfish",2020,1374,75,1449,0,1374
"Black Rockfish",2021,1992,245,2237,0,1924
"Blue Rockfish",2019,17,0,17,0,17
"Blue Rockfish",2020,24,0,24,0,24
"Blue Rockfish",2021,8,0,8,0,8
"Bocaccio",2003,0,1,1,0,0
"Bocaccio",2004,0,14,14,0,0
"Bocaccio",2005,1,0,1,0,0
"Bocaccio",2009,0,7,7,0,0
"Bocaccio",2011,0,24,24,0,0
"Bocaccio",2012,0,18,18,0,0
"Bocaccio",2014,12,0,12,0,12
"Bocaccio",2015,2,1,3,0,2
"Bocaccio",2016,7,2,9,0,7
"Bocaccio",2017,11,3,14,0,11
"Bocaccio",2018,25,11,36,0,25
"Bocaccio",2019,95,50,145,0,95
"Bocaccio",2020,2,1,3,0,2
"Bocaccio",2021,86,4,90,0,86
"Brown Rockfish",2011,0,1,1,0,0
"Brown Rockfish",2012,0,1,1,0,0
"Brown Rockfish",2013,0,1,1,0,0
"Brown Rockfish",2016,0,3,3,0,0
"Brown Rockfish",2017,8,2,10,0,8
