"name","positive_sites","sexed_fish","unsexed_fish","lengthed","aged","otoliths"
"Arrowtooth flounder",227,3061,14,3074,254,635
"Aurora rockfish",84,1552,13,1564,182,490
"Bank rockfish",13,107,12,119,0,76
"Big skate",96,333,1,318,61,7
"Black rockfish",1,1,0,1,0,1
"Blackgill rockfish",35,496,3,499,115,238
"Blue/Deacon rockfish",0,3,0,3,0,2
"Bocaccio",47,495,27,522,168,160
"Brown rockfish",5,30,0,31,0,23
"Cabezon",0,0,0,0,0,0
"California scorpionfish",12,164,6,170,52,21
"Canary rockfish",53,693,17,711,319,125
"Chilipepper rockfish",89,1718,140,1858,509,165
"Copper rockfish",8,58,3,62,11,30
"Cowcod",18,44,3,47,28,19
"Curlfin sole",72,547,2,549,0,80
"Darkblotched rockfish",110,1807,22,1829,690,95
"Dover sole",525,9746,21,9763,995,454
"English sole",261,4673,4,4673,53,877
"Flag rockfish",7,27,0,27,0,19
"Flathead sole",52,601,4,604,0,163
"Gopher/Black and yellow rockfish",1,1,0,1,0,1
"Greenspotted rockfish",34,431,14,445,41,209
"Greenstriped rockfish",163,2264,52,2316,201,442
"Honeycomb rockfish",1,17,0,17,0,10
"Kelp greenling",11,47,0,47,0,36
"Kelp rockfish",0,0,0,0,0,0
"Lingcod",210,1401,90,1487,533,265
"Longnose skate",378,3263,3,2894,38,97
"Longspine thornyhead",224,3632,2531,6163,0,814
"Olive rockfish",0,0,0,0,0,0
"Pacific cod",31,226,1,226,0,74
"Pacific ocean perch",45,796,17,813,346,161
"Pacific sanddab",204,4853,27,4879,470,310
"Pacific spiny dogfish",171,1815,4,1817,35,524
"Petrale sole",270,4030,5,4034,738,430
"Quillback rockfish",4,13,0,13,10,0
"Redbanded rockfish",51,179,5,184,0,172
"Redstripe rockfish",13,380,28,408,0,185
"Rex sole",380,7889,25,7910,0,595
"Rock sole",32,215,0,216,0,35
"Rosethorn rockfish",49,1013,16,1030,0,411
"Rosy rockfish",2,18,2,20,0,9
"Rougheye/Blackspotted rockfish",28,114,1,115,57,40
"Sablefish",408,4339,83,4418,1222,660
"Sand sole",9,53,0,53,0,28
"Sharpchin rockfish",43,1026,12,1038,0,430
"Shortraker rockfish",1,3,0,3,0,2
"Shortspine thornyhead",321,3676,1338,5010,0,1151
"Silvergray rockfish",7,44,0,44,0,38
"Speckled rockfish",2,15,0,15,0,7
"Splitnose rockfish",129,2429,344,2768,171,500
"Squarespot rockfish",10,203,40,243,24,48
"Starry flounder",9,27,0,27,0,24
"Starry rockfish",2,5,0,5,0,4
"Stripetail rockfish",138,2311,317,2627,0,559
"Vermilion/Sunset rockfish",11,143,7,150,46,58
"Widow rockfish",26,249,0,249,148,11
"Yelloweye rockfish",15,48,0,48,40,8
"Yellowmouth rockfish",2,30,0,30,0,16
"Yellowtail rockfish",47,940,3,944,305,175
