Common_name,Year,sexed_fish,unsexed_fish,lengthed,aged_fish,unread_otoliths
arrowtooth flounder,2003,4502,0,4502,512,857
arrowtooth flounder,2004,2713,0,2713,485,202
arrowtooth flounder,2005,3932,3,3935,853,4
arrowtooth flounder,2006,3030,6,3036,475,260
arrowtooth flounder,2007,3520,32,3552,0,894
arrowtooth flounder,2008,3221,6,3227,0,874
arrowtooth flounder,2009,3448,21,3469,0,956
arrowtooth flounder,2010,3697,6,3703,0,1134
arrowtooth flounder,2011,3057,3,3060,0,1043
arrowtooth flounder,2012,3027,18,3045,399,627
arrowtooth flounder,2013,2519,15,2534,400,285
arrowtooth flounder,2014,3537,124,3650,400,523
arrowtooth flounder,2015,3863,5,3851,400,567
arrowtooth flounder,2016,3257,0,3257,400,574
arrowtooth flounder,2017,2200,5,2205,0,862
arrowtooth flounder,2018,1761,0,1761,0,761
arrowtooth flounder,2019,754,0,754,0,376
aurora rockfish,2003,1105,15,1120,404,155
aurora rockfish,2004,1087,0,1087,0,354
aurora rockfish,2005,1669,16,1685,428,139
aurora rockfish,2006,1713,3,1716,0,599
aurora rockfish,2007,1679,15,1694,395,191
aurora rockfish,2008,1702,6,1708,0,706
aurora rockfish,2009,1889,8,1897,403,184
aurora rockfish,2010,1605,29,1634,487,318
aurora rockfish,2011,1481,41,1522,502,282
aurora rockfish,2012,1659,25,1684,470,408
aurora rockfish,2013,849,2,851,0,515
aurora rockfish,2014,1500,8,1497,0,665
aurora rockfish,2015,2050,9,2059,0,793
aurora rockfish,2016,1947,26,1973,0,944
aurora rockfish,2017,2062,8,2070,0,843
aurora rockfish,2018,1756,3,1759,0,906
aurora rockfish,2019,629,1,630,0,332
bank rockfish,2003,6,0,6,0,4
bank rockfish,2004,106,0,106,0,60
bank rockfish,2005,70,26,96,0,50
bank rockfish,2006,255,0,255,0,62
bank rockfish,2007,59,16,75,0,55
bank rockfish,2008,31,0,31,0,31
bank rockfish,2009,82,2,84,0,74
bank rockfish,2010,169,1,170,0,71
bank rockfish,2011,134,4,138,0,52
bank rockfish,2012,31,0,31,0,30
bank rockfish,2013,32,0,32,0,32
bank rockfish,2014,142,3,145,0,111
bank rockfish,2015,60,0,60,0,60
bank rockfish,2016,68,132,200,0,155
bank rockfish,2017,39,0,39,0,39
bank rockfish,2018,295,16,311,0,187
bank rockfish,2019,243,2,245,0,222
big skate,2003,195,2,197,0,0
big skate,2004,259,3,262,0,0
big skate,2005,328,0,328,0,0
big skate,2006,152,3,0,0,0
big skate,2007,191,1,95,0,0
big skate,2008,159,0,159,0,0
big skate,2009,302,3,305,230,0
big skate,2010,466,0,466,333,3
big skate,2011,360,0,360,0,0
big skate,2012,395,0,395,0,0
big skate,2013,316,0,316,0,0
big skate,2014,552,0,552,0,0
big skate,2015,549,0,546,0,0
big skate,2016,422,0,422,138,2
big skate,2017,496,0,496,164,23
big skate,2018,331,0,331,169,2
big skate,2019,180,0,180,0,82
black rockfish,2004,1,0,1,0,1
black rockfish,2009,2,0,2,0,2
black rockfish,2010,1,0,1,0,1
black rockfish,2015,1,0,1,0,1
black rockfish,2016,1,0,1,0,1
black rockfish,2017,3,0,3,0,3
black rockfish,2019,1,0,1,0,1
blackgill rockfish,2003,129,0,129,0,89
blackgill rockfish,2004,449,0,449,0,175
blackgill rockfish,2005,397,1,398,0,191
blackgill rockfish,2006,750,2,752,0,200
blackgill rockfish,2007,298,0,298,0,194
blackgill rockfish,2008,339,0,339,0,243
blackgill rockfish,2009,535,18,553,0,430
blackgill rockfish,2010,514,8,522,0,461
blackgill rockfish,2011,362,3,365,311,0
blackgill rockfish,2012,503,5,508,419,0
blackgill rockfish,2013,415,4,419,0,348
blackgill rockfish,2014,847,7,854,638,0
blackgill rockfish,2015,717,2,719,580,0
blackgill rockfish,2016,379,0,379,0,361
blackgill rockfish,2017,594,2,596,0,442
blackgill rockfish,2018,968,2,970,0,693
blackgill rockfish,2019,239,1,240,0,226
blue/deacon rockfish,2003,19,0,19,0,0
blue/deacon rockfish,2008,2,0,2,0,2
blue/deacon rockfish,2013,3,0,3,0,3
blue/deacon rockfish,2016,13,0,13,0,13
blue/deacon rockfish,2019,12,0,12,0,9
bocaccio,2003,102,5,107,105,2
bocaccio,2004,480,0,480,209,0
bocaccio,2005,270,0,270,146,1
bocaccio,2006,262,0,262,127,8
bocaccio,2007,157,0,157,94,4
bocaccio,2008,109,1,110,85,0
bocaccio,2009,100,0,100,95,5
bocaccio,2010,162,110,272,188,1
bocaccio,2011,105,0,105,105,0
bocaccio,2012,816,1,817,513,3
bocaccio,2013,539,199,738,493,2
bocaccio,2014,995,25,1020,695,16
bocaccio,2015,687,9,696,0,383
bocaccio,2016,1338,109,1447,0,695
bocaccio,2017,952,0,952,0,621
bocaccio,2018,806,0,806,0,601
bocaccio,2019,539,0,539,0,383
brown rockfish,2003,46,2,48,0,0
brown rockfish,2004,28,0,28,0,28
brown rockfish,2005,42,1,43,0,20
brown rockfish,2006,13,0,13,0,13
brown rockfish,2007,1,0,1,0,1
brown rockfish,2008,3,1,4,0,4
brown rockfish,2009,9,0,9,0,9
brown rockfish,2010,15,0,15,0,14
brown rockfish,2011,13,2,15,0,15
brown rockfish,2012,39,0,39,0,29
brown rockfish,2013,39,0,39,0,30
brown rockfish,2014,83,0,83,0,37
brown rockfish,2015,51,0,51,0,50
brown rockfish,2016,7,0,7,0,7
brown rockfish,2017,35,0,35,0,35
brown rockfish,2018,62,0,62,0,62
brown rockfish,2019,32,0,32,0,32
cabezon,2008,1,0,1,0,1
cabezon,2016,0,1,1,0,0
cabezon,2017,1,0,1,0,1
cabezon,2018,1,0,1,0,1
California scorpionfish,2003,69,5,74,0,0
California scorpionfish,2004,115,41,156,0,0
California scorpionfish,2005,169,0,169,75,0
California scorpionfish,2006,46,1,47,45,1
California scorpionfish,2007,191,0,191,68,0
California scorpionfish,2008,50,0,50,49,1
California scorpionfish,2009,346,1,347,130,0
California scorpionfish,2010,58,0,58,42,0
California scorpionfish,2011,239,0,239,116,1
California scorpionfish,2012,94,0,94,66,0
California scorpionfish,2013,259,0,259,67,0
California scorpionfish,2014,91,2,93,73,0
California scorpionfish,2015,160,3,163,57,1
California scorpionfish,2016,127,12,139,95,2
California scorpionfish,2017,275,34,309,0,140
California scorpionfish,2018,287,2,289,0,128
California scorpionfish,2019,215,0,215,0,88
canary rockfish,2003,423,0,423,262,16
canary rockfish,2004,482,0,482,254,1
canary rockfish,2005,529,1,530,231,0
canary rockfish,2006,622,1,623,247,0
canary rockfish,2007,672,1,673,497,0
canary rockfish,2008,701,91,792,452,0
canary rockfish,2009,301,5,306,239,1
canary rockfish,2010,432,63,495,397,0
canary rockfish,2011,569,4,573,364,1
canary rockfish,2012,799,53,852,596,1
canary rockfish,2013,480,NA,512,376,1
canary rockfish,2014,1457,10,1467,901,9
canary rockfish,2015,1061,3,1064,0,738
canary rockfish,2016,1046,9,1055,605,0
canary rockfish,2017,955,15,970,0,528
canary rockfish,2018,716,3,719,0,475
canary rockfish,2019,544,0,544,0,360
chilipepper,2003,2472,136,2608,677,17
chilipepper,2004,3214,251,3465,758,5
chilipepper,2005,3577,128,3704,833,1
chilipepper,2006,2630,NA,2696,611,0
chilipepper,2007,2472,23,2495,590,1
chilipepper,2008,2193,17,2209,698,2
chilipepper,2009,1757,358,2115,619,0
chilipepper,2010,1666,425,2091,806,15
chilipepper,2011,980,78,1058,647,2
chilipepper,2012,1145,132,1277,847,0
chilipepper,2013,891,193,1084,684,0
chilipepper,2014,1619,121,1740,884,2
chilipepper,2015,912,140,1052,0,619
chilipepper,2016,1176,269,1445,0,720
chilipepper,2017,867,38,905,0,540
chilipepper,2018,980,7,987,0,530
chilipepper,2019,658,1,659,0,350
copper rockfish,2003,25,0,25,0,0
copper rockfish,2004,71,0,71,20,51
copper rockfish,2005,19,3,22,1,21
copper rockfish,2006,10,0,10,2,8
copper rockfish,2007,13,0,13,8,5
copper rockfish,2008,44,0,44,14,30
copper rockfish,2009,27,0,27,20,7
copper rockfish,2010,17,1,18,1,17
copper rockfish,2011,12,0,12,9,3
copper rockfish,2012,234,7,241,42,61
copper rockfish,2013,98,0,98,2,32
copper rockfish,2014,40,0,40,4,29
copper rockfish,2015,111,2,113,16,23
copper rockfish,2016,53,43,96,28,49
copper rockfish,2017,125,1,126,20,82
copper rockfish,2018,62,0,62,0,53
copper rockfish,2019,32,0,32,0,32
cowcod,2003,13,0,13,13,0
cowcod,2004,64,0,64,24,40
cowcod,2005,27,3,30,25,5
cowcod,2006,25,0,25,25,0
cowcod,2007,25,0,25,21,4
cowcod,2008,13,3,16,16,0
cowcod,2009,20,3,23,22,1
cowcod,2010,45,15,60,58,2
cowcod,2011,26,3,29,29,0
cowcod,2012,72,1,73,73,0
cowcod,2013,15,11,26,23,1
cowcod,2014,74,3,77,75,2
cowcod,2015,30,0,30,30,0
cowcod,2016,62,3,65,0,65
cowcod,2017,31,3,34,34,0
cowcod,2018,113,3,116,0,107
cowcod,2019,89,0,89,0,89
darkblotched rockfish,2003,2371,4,2375,748,24
darkblotched rockfish,2004,1056,7,1062,595,0
darkblotched rockfish,2005,1972,11,1983,804,0
darkblotched rockfish,2006,1910,15,1925,940,4
darkblotched rockfish,2007,2060,26,2086,987,0
darkblotched rockfish,2008,1632,15,1647,762,0
darkblotched rockfish,2009,2268,30,2298,1159,0
darkblotched rockfish,2010,2224,15,2239,912,0
darkblotched rockfish,2011,1824,4,1828,796,2
darkblotched rockfish,2012,2166,39,2205,791,2
darkblotched rockfish,2013,1543,5,1548,687,3
darkblotched rockfish,2014,1420,97,1517,767,0
darkblotched rockfish,2015,2391,67,2458,1066,2
darkblotched rockfish,2016,2094,3,2097,713,1
darkblotched rockfish,2017,1696,34,1730,0,669
darkblotched rockfish,2018,1268,2,1269,0,585
darkblotched rockfish,2019,822,0,822,0,329
Dover sole,2003,22866,32,22898,957,2024
Dover sole,2004,17312,40,17349,952,1546
Dover sole,2005,17659,5,17664,989,1513
Dover sole,2006,13496,23,13519,970,1011
Dover sole,2007,11255,10,11265,984,1157
Dover sole,2008,6230,4,6234,948,124
Dover sole,2009,3566,7,3573,1034,20
Dover sole,2010,3206,33,3239,996,176
Dover sole,2011,8396,27,8423,1075,10
Dover sole,2012,8761,15,8776,1088,6
Dover sole,2013,7316,12,7328,809,9
Dover sole,2014,10204,25,10177,1123,7
Dover sole,2015,10029,60,10070,1088,9
Dover sole,2016,10126,34,10160,1120,6
Dover sole,2017,6210,13,6223,1141,15
Dover sole,2018,6015,16,6031,1161,5
Dover sole,2019,3033,1,3034,487,79
English sole,2003,8124,0,8124,182,1584
English sole,2004,8209,4,8210,360,563
English sole,2005,8366,0,8366,356,873
English sole,2006,5383,6,5389,0,980
English sole,2007,3935,10,3945,0,926
English sole,2008,3477,1,3478,0,834
English sole,2009,3346,21,3367,0,893
English sole,2010,2476,1,2477,0,1046
English sole,2011,4448,6,4454,0,1062
English sole,2012,4637,0,4637,0,1078
English sole,2013,3542,3,3545,0,748
English sole,2014,5263,1,5242,0,1138
English sole,2015,5135,0,5105,0,1091
English sole,2016,5223,0,5223,0,622
English sole,2017,3542,7,3549,0,623
English sole,2018,2914,1,2915,0,559
English sole,2019,1413,0,1413,0,282
flag rockfish,2003,77,0,77,0,0
flag rockfish,2004,14,0,14,0,14
flag rockfish,2005,6,1,7,0,7
flag rockfish,2006,25,0,25,0,25
flag rockfish,2007,54,1,55,0,49
flag rockfish,2008,8,0,8,0,8
flag rockfish,2009,29,1,30,3,27
flag rockfish,2010,16,0,16,0,16
flag rockfish,2011,5,0,5,0,5
flag rockfish,2012,69,0,69,0,35
flag rockfish,2013,11,0,11,0,11
flag rockfish,2014,19,0,19,0,19
flag rockfish,2015,18,0,18,0,17
flag rockfish,2016,11,1,12,0,12
flag rockfish,2017,36,0,36,0,29
flag rockfish,2018,34,0,34,0,34
flag rockfish,2019,19,0,19,0,19
flathead sole,2003,1521,0,1521,0,0
flathead sole,2004,507,0,507,0,0
flathead sole,2005,593,0,593,0,0
flathead sole,2006,421,0,421,0,0
flathead sole,2007,137,0,137,0,0
flathead sole,2008,156,1,157,0,0
flathead sole,2009,191,0,191,0,0
flathead sole,2010,393,13,406,0,0
flathead sole,2011,549,5,554,0,203
flathead sole,2012,253,3,256,0,136
flathead sole,2013,289,2,291,0,160
flathead sole,2014,945,35,980,0,519
flathead sole,2015,1649,5,1654,0,659
flathead sole,2016,1236,1,1237,0,517
flathead sole,2017,653,0,653,0,256
flathead sole,2018,515,1,516,0,229
flathead sole,2019,202,0,202,0,85
gopher rockfish,2005,1,0,1,0,1
gopher rockfish,2006,2,0,2,0,2
gopher rockfish,2009,1,0,1,0,1
